"Alexis" "Andolt" "Arnim" "Auerbach" "Berthold" "Brentano" "Chamisso" "Dincklage" "Droste" "Eichendorff" "Ense" "Frey" "Gall" "Gerstaecker" "Gluemer" "Goethe" "Goldammer_Hochzeitsnacht" "Goldammer_Wiedersehen" "Gotthelf_Kurt" "Gotthelf_Notar" "Grillparzer" "Grimm" "Grosse" "Hacklaender" "Halm" "Hartmann" "Hauff" "Heyden" "Heyse" "Hoefer" "Hoffmann" "Holtei" "Horner" "Immermann" "Kaehler" "Keller" "Kinkel_Margret" "Kinkel_Orthodoxie" "Kleist" "Kompert" "Kopisch_Karnevalsfest" "Kopisch_Traeumer" "Kruse" "Kuernberger" "Kugler" "Kurz" "Lewald" "Lohmann" "Lorm" "Ludwig" "Meiﬂner" "Meyr" "Moerike" "Muegge" "Mueller" "Pichler" "Raabe" "Reich" "Riehl" "Roquette" "Rumohr" "Sacher-Masoch" "Schefer" "Scheffel" "Schmid" "Schreyvogel" "Schuecking" "Spindler" "Sternberg" "Stifter" "Storm" "Tesche" "Tieck_Gemaelde" "Tieck_Lebens" "Traun" "v.W." "Waldmueller" "Wallner" "Wichert" "Widmann" "Wilbrandt" "Wild" "Wildermuth" "Wolf" "Ziegler" "Zschokke"
"Alexis" 0 0.870883999382827 0.981048370382227 0.836312680927754 0.864100052417017 1.06921445903375 0.953558870928709 0.922827841943455 0.8735243583145 1.08418097850057 0.991992146933077 0.8467875593667 0.927947012701872 1.14809806968356 0.958484786916286 1.11429338896622 1.22593867409511 1.06254806492248 0.822948757401985 1.08967162665796 1.00846872799053 0.982703473023053 0.941048589015582 0.924187808397171 0.928633354533577 1.06303104897224 0.885852007583047 0.889230194949083 0.775938181766758 0.984475142811653 0.931212415011567 0.942847133308441 0.815798560316739 0.804140463708098 1.02229594195107 0.855230148642027 1.00258378307267 0.87305053249785 1.11189176270224 0.849469147496551 0.951702326449911 0.979921139439074 0.877221325756907 0.800761885710254 0.892133287190755 0.848487797434587 0.927352627995215 0.902917317328104 0.881459438460955 1.03190872789038 0.772299853121199 0.882721628185422 0.835222470770743 0.784787216510109 0.846507906872543 0.862009461226426 0.956130856702334 1.00306848937836 1.1812186860318 0.852306252158242 0.852975780375989 1.04307640328467 0.835598365869105 1.22915559766941 0.828101916818298 0.972714381963063 0.824469564136424 0.91310614234108 0.88369668167152 0.982154494178935 1.05818019245585 0.85903905740321 0.818119568142087 0.917831524988324 1.04695840585544 0.995913798473896 0.802115931179356 1.25486574531626 0.905534401894291 0.913007652539469 1.03269770912784 0.921822637791084 1.06240692601051 1.37683362072405 0.822110354415242 0.785580545835979
"Andolt" 0.870883999382827 0 1.04048336955658 1.00892507540589 1.0342813719058 1.15917347664456 0.975759323802734 1.04563184767405 0.980017203863967 1.15476184675319 0.943522336956106 0.913857670648561 0.999748325137274 1.2554696159626 1.124145426546 1.02339724817622 1.3389443995737 1.1582910708743 1.02291417899923 1.24832609799648 1.00314974914881 1.06298207641829 0.97113208349082 1.01676169612403 0.972982039651084 0.961441981170741 1.03757955568729 0.941625971710129 0.969074091390403 1.11193572783356 0.963509345799183 1.05172395870524 0.95184785684878 0.752867087523222 0.951278805029211 0.954342734504487 1.04832982009823 0.927431508578918 1.09781524021797 1.08905258724712 1.05137202120428 1.05154477198481 0.936130931812788 0.921574975901168 0.939150287525341 0.885726856612307 0.935391936322015 0.948611554578839 0.917432877509772 1.20758097387818 0.922839440124665 1.01153208966002 0.85725408389745 0.924816849092289 0.825525355576266 0.969108784155516 0.953530419801446 1.14917631163843 1.26880438480845 0.832627723062344 0.978009709203026 1.12571134791654 1.01367574783114 1.3873011390652 0.985260617562122 0.889571494353387 0.826844316892519 1.03542588983371 0.891067795216887 1.03857563593133 1.01461386094564 0.912442448284998 0.892906321041001 0.948717138715115 1.10429027165635 0.955167416696991 0.917462475549178 1.21202303021279 1.05449853982613 1.15925289526073 1.13352716534682 0.963080028996115 1.19146693543629 1.39732289349007 0.972528683996035 0.903538849225947
"Arnim" 0.981048370382227 1.04048336955658 0 0.937732276932524 1.04560823698003 1.08742609008856 1.06831629745772 1.10003504862439 1.05757919024789 1.13198736472632 1.05916532463179 1.01885568395694 1.04663160467879 1.33644058094958 1.08795526522621 1.17476448315092 1.3247565253781 1.18191882263633 1.01492436542936 1.2580367645266 1.11148526339316 1.13939999683935 1.1065719703613 1.10712739221621 0.953086764198353 1.14053216318328 1.07620348179581 1.06729767637898 0.95664567150133 1.17738651126 1.06232264821139 1.09657700649738 1.0036761149953 0.925852895599661 1.12375779648355 1.0674461165251 1.01081385331712 1.01860248758343 1.0917019609611 1.06363871959569 1.08548648574251 1.08458937938624 1.04027078241449 1.02625903844847 1.00405561607017 0.978214254945305 0.999578927979134 1.07383157786596 1.06521904688938 1.20022075317793 0.975993751566105 1.05352181639869 1.03150427147929 1.0164124143138 0.973524291842782 1.05748236143348 1.0807691159396 1.14844528952396 1.14789540618429 1.00626251521406 1.07277821214323 1.26214163099589 0.974232765843978 1.40910569176192 1.02854108198831 1.08255234030259 0.943970078434175 1.03548222315283 1.05638095277992 1.06437218009718 1.14520628059545 1.01582321213289 1.05565798825083 1.07409544729245 1.22631918772412 1.25074184312755 0.948934097737654 1.32184437488333 0.998159583563689 1.13655438813608 1.21351173917039 1.07247530607509 1.15523920431458 1.49573361438999 0.990488779938186 0.961004663612912
"Auerbach" 0.836312680927754 1.00892507540589 0.937732276932524 0 0.838644428618761 1.03583237965621 0.985683576301096 1.02180794995579 0.830631988292051 1.01194098253546 1.04331809589063 0.910848319206251 0.975390084022322 1.11805666339248 0.903154338401823 1.14200152798143 1.20661045033323 1.12113209359166 0.853689076982902 1.10546274909449 0.975415062461745 0.924374676396712 0.969028983572888 1.02681459648437 0.943005414833071 1.10563809411934 0.991365721676251 1.05349500703754 0.721092999117683 0.928185441988674 0.927168770269769 1.0154928466938 0.860335676814266 0.843200610585207 1.12886648738048 0.838067060985013 0.952809013942889 0.954245428551493 1.19951930836225 0.844303717027688 0.990970164059553 0.939226099909702 0.963017424607552 0.813696594952649 0.975537674439696 0.922827079320325 0.852015023971992 0.982384211150024 0.994406409863308 1.06180415042234 0.809600618350664 0.811340484551149 0.885019509085986 0.886137082057776 0.966970444090294 0.872559765036537 1.01629115908304 0.928135508909138 1.1640439654362 0.840785093842931 1.02259998081424 1.14105034528188 0.827719316336065 1.32015280344152 0.836570814592051 1.03708093473424 0.895896606657922 0.905768311727393 1.02590376907405 0.949440604121676 1.04009372642556 0.93470034025322 0.956814938748415 0.984688040548806 1.10125963469171 1.12054873152346 0.878812315673733 1.36503132251231 0.8085944368264 0.91565635296141 0.992836989383999 0.880061128429651 0.958115632034494 1.36047187661583 0.893329293077858 0.821027165940753
"Berthold" 0.864100052417017 1.0342813719058 1.04560823698003 0.838644428618761 0 1.01045128626508 0.91532535174754 0.978253865785923 0.798752478500601 0.951660678295697 1.13797519136236 0.988142808150006 0.97266163507234 1.06467852764085 0.971098731569827 1.12166838878534 1.18360546424397 1.13911843301117 0.961135076690057 1.1374447317586 0.912418986465595 0.829986430928015 0.948793223594385 0.97506297079104 1.01052585845278 1.08783822586074 0.916651754247899 1.12515919028285 0.742065087058431 0.947914845110511 1.00311505865686 1.05898029430156 0.849013939854956 0.841417131489939 1.0835556014078 0.83883872615569 0.970871543519315 0.975656470405841 1.18970599197152 0.925643870581957 0.959721777370533 0.909251872196424 1.01985445588759 0.839615459995757 1.03339219732256 1.04325430618064 0.979013133558323 0.949756827323948 1.08393858686154 1.06753040227299 0.808436540263488 0.912923234232616 0.873415901413819 0.858935868551188 1.05030543170739 0.904182493522045 1.02862037929702 0.876530155468276 1.23866964725586 0.828671490237732 1.01812859110783 1.09379643154933 0.863544926207914 1.34920184430373 0.893549152947811 0.907812706421209 0.925771520646678 0.97309173352432 0.999712046562487 1.01100259088258 1.00282892881452 0.99079818817936 1.04534397192891 1.02173809183819 1.06811280252675 1.22221458542043 0.989318980942461 1.39709017008701 0.838365648410189 0.883581127025313 0.860486543464853 0.896822667576941 1.00073476515621 1.32671173895438 0.919227030161525 0.870002067024074
"Brentano" 1.06921445903375 1.15917347664456 1.08742609008856 1.03583237965621 1.01045128626508 0 1.13928170504761 1.11572222695735 1.09327121185303 1.22614268515933 1.23352933073445 1.16681943726329 1.12914894467236 1.3285942531814 1.14337578719273 1.27381605549846 1.41659123114891 1.33636922216475 1.16020735135548 1.29413541948311 1.13858621073835 1.18633546339573 1.14643660626907 1.17752298642503 1.16281095130764 1.25550119068195 1.04087777344239 1.23358445638277 1.01240843729464 1.12042294542236 1.09032509006955 1.1831832657462 1.06897390625909 1.0099815806596 1.16291304472646 1.15206865098993 1.17275496577567 1.1631494446712 1.27278190730903 1.02316804601387 1.19070544269843 1.05136099249925 1.1804791535569 1.04637962008227 1.21976943274923 1.18782027046834 1.1151336662839 1.04420731877438 1.19931404891893 1.34477503758049 0.99553115097906 1.09890151042299 1.09370313579811 1.07025789804485 1.09827545280048 1.12160455042955 1.14434451757852 1.1257382405812 1.34135746376839 1.03010125708125 1.20648654843965 1.20754340972409 1.04058971220461 1.52068389291525 1.100231395797 1.08979713692616 1.09252564249114 1.08820695514464 1.12825770378419 1.16940307009071 1.21738564733512 1.08100743274805 1.09985697021895 1.12484222435487 1.16354227321297 1.24872729822618 1.1595429732657 1.43959512558512 1.08552914034265 1.13759831201346 1.20799796936297 1.16466832073971 1.22981223080308 1.49163842536391 1.08317929425229 1.05334771221715
"Chamisso" 0.953558870928709 0.975759323802734 1.06831629745772 0.985683576301096 0.91532535174754 1.13928170504761 0 1.12125006354807 0.987075582993554 1.11650395282025 0.971020392542112 1.04210476530049 1.08329316287773 1.22850287251766 1.14705014635651 1.08475297347076 1.27914867808325 1.22774506185584 1.02806617060898 1.25526936270157 0.995076301787079 1.03010497430942 1.07487657200089 1.06435868885529 1.01424438905861 1.11243810270847 1.00481149938878 1.09718195960979 0.878232635389403 1.08908070596437 1.00529094379858 1.11808529596261 0.999223008390283 0.857492592149294 0.980753333877084 1.01407020714189 0.987830810543067 0.974823946075939 1.1824870553326 1.10374018254286 1.07157704353958 1.06087303687937 1.00076923722878 1.00557057174755 1.03840772877728 1.01935117178969 0.950617384231774 1.01862639167299 1.06874059491001 1.13896309520356 1.0002765863231 1.02806867404688 0.908604430292962 0.974428361254304 0.948433790613644 1.01165002178097 1.00929021717779 1.08611109675837 1.33822721988 0.880998378066041 1.0214080893028 1.17118209978098 0.929781318329859 1.34878238573105 1.02295063807708 0.937582654510677 0.910441149820767 1.01015824433302 0.987683282421177 1.03945971934927 1.04690820156757 1.02297054785289 1.04540508070502 1.08903262309093 1.14745509571202 1.1019371109502 1.00657874361316 1.23210837800285 1.00865237325998 1.09566000797517 1.08279540749766 0.946124869178665 1.19186359370234 1.43422279209297 1.07707541701923 0.964711991669122
"Dincklage" 0.922827841943455 1.04563184767405 1.10003504862439 1.02180794995579 0.978253865785923 1.11572222695735 1.12125006354807 0 0.950472320858213 1.15392128527286 1.11604268197812 1.02991850502501 1.07188078982758 1.18649485282325 1.04303154791782 1.21921045724397 1.28654773356488 1.19573587530842 1.0242870111556 1.21831472827162 1.05146120932209 1.09796672246258 1.0200997502584 1.02845272194645 1.0424150776613 1.12165372689126 0.968733937315074 1.03452490819409 0.879408789683822 1.07402424744276 1.0662239958587 1.010936829969 0.903857502409555 0.950948426941458 1.08015618390905 0.928320183773301 1.01114787559858 0.968467397118554 1.16946970164864 0.958941351386788 1.06355218080793 0.989010956207722 1.08808895735715 0.943647261538432 1.08899345449343 1.06791905298343 1.02080450727813 0.957421798934775 1.03405992400919 1.1436093370693 0.956795921664341 0.988913482093932 0.961513109918762 0.91245688249767 1.02118002498185 1.00682412741727 0.98706360344839 1.0448353613085 1.22577725659255 0.95859893468552 1.05377434698444 1.15795115246275 0.962197502613462 1.35179966217965 0.939393277679479 1.07624051371756 0.922824712910369 0.987601260694205 0.967346521793983 1.02344156460575 1.10292646370487 0.936393333676974 1.00141324363313 1.03434626284648 1.11356589594508 1.162411772767 1.00067385531958 1.30252264485591 1.02270028595432 1.01949658794183 1.12186772796604 1.03836415148446 1.1447430242263 1.37064924892257 0.951433133670142 0.944854616829344
"Droste" 0.8735243583145 0.980017203863967 1.05757919024789 0.830631988292051 0.798752478500601 1.09327121185303 0.987075582993554 0.950472320858213 0 0.976213700359531 1.06182652853437 0.909909365282645 0.998587812667155 1.08856863972637 0.976584143965953 1.11451993119825 1.19133386118819 1.06803839966138 0.905386822638484 1.18274353958119 0.915842141625904 0.929575402288584 1.0259361711823 0.904792650487007 0.952331024701177 1.05282941217539 0.936640933090775 1.01453059506576 0.772282832417227 0.938028723454866 0.96845357045486 1.01844597431772 0.928437370817919 0.866207143981091 1.10299674291167 0.822081798957042 0.901564145535405 0.916358069053709 1.14286218544382 0.955871770758273 0.994858116098397 0.970171250412438 0.984772694094242 0.843178187449928 0.939538381760293 0.939680654174719 0.973234635679565 1.00531050423543 1.0397130887726 1.02039787366678 0.808909902534165 0.927308336798978 0.812537391192666 0.846516563574539 0.982998476215868 0.838593772096282 0.946858240742135 0.939003642507776 1.18819824150629 0.822189286158387 0.973461527375883 1.08326236681587 0.929401561187209 1.26122562011473 0.903238099133126 0.970045018224798 0.849460601171625 0.946999117238046 0.966618724702136 0.933775309998316 0.954454470190195 0.984483382573658 1.01770889266529 1.06907806644899 1.04303057163464 1.12714111112899 0.902538449952874 1.26834961548074 0.924252612168739 0.88787564595403 0.989989245421157 0.896112732885662 1.01684933136028 1.31980201038934 0.939016285309664 0.867483041770727
"Eichendorff" 1.08418097850057 1.15476184675319 1.13198736472632 1.01194098253546 0.951660678295697 1.22614268515933 1.11650395282025 1.15392128527286 0.976213700359531 0 1.25119873244601 1.09546008119049 1.21212205485908 1.12941795102124 1.24052127985324 1.23409570085315 1.30479560285695 1.12005385269865 1.12964541450348 1.4572110897239 1.09107770227772 1.13435492510775 1.19852548458731 0.975003302325664 1.07068038991828 1.18521753981448 1.01632482204141 1.23217514294447 0.961519264945738 1.19481569446204 1.04618665728289 1.20051742759765 1.12368369219849 1.07796413245605 1.28972921568435 1.0482081368198 0.979308251405374 1.09634052461228 1.20261330005187 1.2088860108861 1.06714497694068 1.12242016999414 1.17417311059021 0.960513497869577 1.07214874856643 1.11294439921194 1.2005037773914 1.2616177084929 1.20348861746715 1.09375487086198 0.998795886140726 1.18765972900256 0.915344548068187 1.08740448245624 1.09583277980084 0.967098643373301 0.984203763755627 1.04282092470787 1.280514771533 1.05392461954548 1.17202274352297 1.16093099241624 1.09367214209654 1.22462235753381 1.13286614219143 1.15407104884152 1.10179016553179 1.18319992672126 1.09386615299124 1.13704408218679 1.06787658699278 1.12496549011061 1.21334161408524 1.17827744363828 1.09853111595595 1.34749541258178 1.06049474660373 1.37503314121164 1.08066775187096 0.938950958209307 1.08086521022577 1.2048731888695 1.19090735860687 1.50449326512796 1.14786099335046 1.11349500212338
