Text Topic1 Topic2 Topic3 Topic4 Topic5 Topic6 Topic7 Topic8 Topic9 Topic10 Topic11 Topic12 Topic13 Topic14 Topic15 Topic16 Topic17 Topic18 Topic19 Topic20 Topic21 Topic22 Topic23 Topic24 Topic25 Topic26 Topic27 Topic28 Topic29 Topic30 Topic31 Topic32 Topic33 Topic34 Topic35 Topic36 Topic37 Topic38 Topic39 Topic40 Topic41 Topic42 Topic43 Topic44 Topic45 Topic46 Topic47 Topic48 Topic49 Topic50 Topic51 Topic52 Topic53 Topic54 Topic55 Topic56 Topic57 Topic58 Topic59 Topic60 Topic61 Topic62 Topic63 Topic64 Topic65 Topic66 Topic67 Topic68 Topic69 Topic70 Topic71 Topic72 Topic73 Topic74 Topic75 Topic76 Topic77 Topic78 Topic79 Topic80 Topic81 Topic82 Topic83 Topic84 Topic85 Topic86 Topic87 Topic88 Topic89 Topic90 Topic91 Topic92 Topic93 Topic94 Topic95 Topic96 Topic97 Topic98 Topic99 Topic100
Diderot_Die-Nonne_1796 0.000194128 0.004477738 0.013044306 0.005723043 0.131203937 0.00042392 0.003002591 3.84E-05 0.001928944 4.72E-05 3.42E-05 0.118193499 0.000325753 0.006774555 0.000265742 0.004388329 6.12E-05 0.000804184 0.000513198 6.85E-05 4.69E-05 0.002652697 7.58E-05 0.000384342 0.026894124 0.000520789 4.95E-05 0.004941044 0.000458064 3.47E-05 0.004797243 0.008642504 0.000713836 0.000145414 0.006484945 7.32E-05 0.006318843 0.007127902 0.008455535 0.000290067 4.94E-05 0.009078648 0.001462366 0.020826072 0.002034611 0.004788538 0.004756515 0.000500612 5.66E-05 6.31E-05 0.00268038 0.00144851 0.001959123 0.001626313 0.000330236 0.003527167 0.000266969 0.014825707 0.007189772 0.001982147 5.88E-05 5.18E-05 0.164850474 0.011552952 0.000549683 0.000265102 0.127937109 4.93E-05 0.001486128 3.12E-05 0.008641917 0.000288607 8.25E-05 0.000100193 0.111799848 0.000450474 8.12E-05 0.000184329 0.012388562 8.96E-05 0.001305245 0.000182595 0.000136003 0.00096506 0.000142127 0.009033448 8.36E-05 0.000528089 0.007630398 7.88E-05 0.000193695 4.41E-05 0.00708646 0.000158832 3.54E-05 0.033484162 0.000975659 0.04642916 0.000263432 0.00023033
Diderot_Jakob_1796 0.000780317 0.007921549 0.014679096 0.010587686 0.109756844 0.003679546 0.012890714 0.000656025 0.000904129 0.000108509 3.55E-05 0.163608113 0.00112814 0.004723594 0.000209288 0.021382653 0.000976023 0.036589644 0.001692632 0.000104791 0.004440026 0.008111645 0.001194913 0.001173965 0.010947655 0.001791492 0.000181128 0.003313131 0.000817192 0.00048746 0.001332389 0.011747374 0.000627266 0.000467101 0.003493027 7.61E-05 0.006736058 0.022868326 0.004402526 0.000443993 5.13E-05 0.014553831 0.003051394 0.013002222 0.001838334 0.006289242 0.006132913 0.001893782 9.35E-05 0.000391757 0.003942814 0.00468583 0.003169199 0.000378413 0.00151991 0.014995853 0.022386169 0.014379077 0.069033315 0.002871379 9.79E-05 5.38E-05 0.057866709 0.011287083 0.000837413 0.000725041 0.014809549 0.000140048 0.00226598 0.002295793 0.012246308 0.001983359 0.000794091 0.000104061 0.114477058 0.002968373 8.43E-05 0.000919538 0.004892848 9.31E-05 0.003333863 0.000302422 0.000564121 0.000260056 0.000237899 0.009878364 0.001607649 0.000805786 0.031076065 0.000334365 0.000201174 4.58E-05 0.005541063 0.000365784 3.68E-05 0.033221514 0.001325662 0.017834731 0.000338358 0.002018334
Ehrmann_Amalie_1787 0.000266227 0.009136292 0.008146899 0.002009904 0.067943671 0.000158919 0.003761431 7.18E-05 0.000434193 0.000206754 5.14E-05 0.083012721 0.000995777 0.009092567 0.000148515 0.006093623 0.000188818 0.00363141 0.001202528 0.000183331 0.000265979 0.00030644 0.000142474 0.000359183 0.016895002 0.000451714 0.001069988 0.00310706 0.001213343 7.14E-05 0.000877364 0.007275765 0.001081676 0.000144411 0.004095847 0.000420396 0.024550195 0.019887194 0.000104745 0.000100442 4.19E-05 0.012310667 0.000739831 0.004124043 0.000479252 0.00139861 0.004826385 0.027872179 0.000222053 9.33E-05 0.004160771 0.001393618 0.001348482 0.000116269 0.002435641 0.040727123 0.000992002 0.005942826 0.015079528 0.000578 0.000112288 4.39E-05 0.019569488 0.002175235 0.000428343 0.000113976 0.005942537 4.18E-05 0.001339798 2.64E-05 0.00023068 6.53E-05 0.000186191 0.351260312 0.049851428 0.000628483 0.000219654 0.000551006 0.005977205 7.60E-05 0.000617665 4.44E-05 0.000258519 0.00014613 0.000589977 0.023670411 0.000218546 0.000674347 0.022904472 6.68E-05 0.000310668 3.74E-05 0.00070745 0.000394091 3.00E-05 0.068481081 0.000913967 0.035522198 0.000860648 0.000671069
Ehrmann_Nina_1788 0.000322071 0.005659423 0.005496739 0.0010368 0.054067308 0.00017313 0.001940152 3.59E-05 0.000566256 4.41E-05 3.20E-05 0.102825696 0.00169307 0.00754824 4.91E-05 0.002038354 5.73E-05 0.001353888 0.000161289 0.000309022 4.38E-05 0.000447915 0.000241697 0.000272675 0.020682055 0.000409464 4.63E-05 0.005086253 0.000172665 3.25E-05 0.001116176 0.013554496 0.000731658 0.000394946 0.006735519 6.85E-05 0.002907419 0.006679328 7.62E-05 8.86E-05 4.62E-05 0.005825003 0.000121006 0.002637317 8.67E-05 0.001192503 0.003150002 0.000601573 5.30E-05 0.000284502 0.002278104 0.001703235 0.002280183 0.000128292 0.000430144 0.023758405 0.000835157 0.002200055 0.017909622 0.000313308 5.50E-05 4.85E-05 0.020328411 0.011871057 0.000938179 0.000266014 0.000888444 0.000169952 0.000810701 2.92E-05 0.000102055 0.00026187 7.72E-05 0.3730664 0.057206477 0.000662586 7.59E-05 0.000841042 0.010448124 0.000336976 0.000434825 4.90E-05 0.000127247 0.000136734 0.000132977 0.010442075 0.000301472 0.000259432 0.103043436 0.000506384 0.000181225 0.000154582 0.000720904 0.000761209 3.31E-05 0.050809286 0.000801367 0.041189173 0.000183436 0.000215501
Eichendorff_Ahnung-und-Gegenwart_1815 0.000601464 0.003160657 0.006002305 0.004278664 0.041258093 0.000137331 0.005916569 3.29E-05 0.002330437 0.000184727 2.93E-05 0.059859863 0.000380502 0.001677251 4.50E-05 0.001724683 0.001847294 0.019112059 0.001339522 5.87E-05 0.000126291 0.000143074 0.000611648 0.001503951 0.014809306 0.000266184 0.001111918 0.043561511 0.002075014 2.97E-05 0.016964135 0.002426746 0.00538483 0.000229243 0.00514445 0.000180003 0.005442738 0.006389636 0.00012287 0.000919318 9.37E-05 0.023476434 0.001762823 0.047519217 7.94E-05 0.001699957 0.040924329 0.001683287 0.000107481 0.000157714 0.002439887 0.002617867 0.067140469 0.000618875 0.000536314 0.005661675 0.003704221 0.038756027 0.026573302 0.00364935 5.04E-05 4.44E-05 0.10527631 0.009702176 0.000251301 6.78E-05 0.003618266 4.23E-05 0.001383841 2.67E-05 9.35E-05 0.000124613 7.07E-05 0.000139689 0.088948789 0.003208763 6.96E-05 0.000366051 0.003448124 7.68E-05 0.167063041 4.49E-05 0.004707659 0.000236929 0.003590985 0.016771297 7.16E-05 0.000237632 0.00491634 0.000161864 0.000494372 3.78E-05 0.000264367 0.00029762 3.03E-05 0.00640668 0.002652977 0.038184144 0.005953529 0.00424346
Engel_Lorenz-Stark_1801 0.000460211 0.002758649 0.027167361 0.00528331 0.133726439 4.05E-05 0.000693194 3.80E-05 0.002065848 4.67E-05 3.38E-05 0.150052368 0.001484535 0.026684128 5.20E-05 0.011397052 6.06E-05 0.001657553 0.00042827 0.000268847 0.200731378 0.000279175 7.50E-05 0.000169226 0.004008719 0.001058272 4.90E-05 0.002552128 0.000244933 3.43E-05 0.000661789 0.011639828 0.001362948 0.000143957 0.008170654 7.25E-05 0.01272694 0.020853893 8.06E-05 0.000262064 4.89E-05 0.019959482 0.000251832 0.005545923 9.17E-05 0.001924177 0.005532 0.000454702 5.61E-05 6.24E-05 0.001882975 0.002487011 0.001235258 0.000564869 0.000326927 0.011280633 0.001296409 0.005260792 0.033634602 0.001601234 5.82E-05 5.13E-05 0.070474362 0.002630287 0.001665997 7.84E-05 0.000546688 4.88E-05 0.000815473 3.09E-05 0.000363039 0.000205663 8.17E-05 0.000453001 0.096468732 0.001649251 8.04E-05 0.001352511 0.002913104 8.87E-05 0.003367176 5.18E-05 0.00013464 0.000420849 0.000894991 0.007388914 8.27E-05 0.000274506 0.011753954 0.000600859 0.000191754 4.37E-05 0.000164757 0.000157241 3.51E-05 0.025421139 0.000749526 0.043517702 0.001172406 0.000444898
Fischer_ChristianHannchen_1800 0.000629045 0.001182092 0.008572983 0.02008865 0.054194798 4.18E-05 0.003675187 3.92E-05 0.001224366 4.82E-05 3.49E-05 0.123502088 0.011292801 0.007556065 5.36E-05 0.006671657 0.001575894 0.012596408 0.002561141 7.00E-05 0.000288128 0.000615887 7.74E-05 0.000174627 0.010787633 0.00254384 0.001910067 0.005675323 0.001102259 0.000659805 0.001411265 0.006935442 0.000621791 0.000468976 0.003172623 0.000421121 0.001940699 0.002664774 8.32E-05 9.68E-05 5.05E-05 0.006359373 0.033129257 0.022903091 0.050277524 0.006252067 0.010651085 0.000964948 5.79E-05 6.44E-05 0.00098163 0.001168239 0.004962113 0.000601834 0.00063233 0.007063879 0.010743792 0.013850988 0.107609543 0.000649143 6.01E-05 0.000275753 0.179081571 0.010981749 0.001536187 0.000429259 0.000435009 5.04E-05 0.001161054 0.000902662 0.000111431 7.87E-05 0.000622349 0.000102355 0.127076499 0.001300475 8.29E-05 0.003678545 0.002714704 9.16E-05 0.002340786 5.35E-05 0.000138938 0.0003888 0.000481304 0.005235874 8.54E-05 0.001565995 0.020823923 8.04E-05 0.001735899 4.51E-05 0.000455276 0.000162259 0.000557083 0.008690459 0.000529106 0.047361047 0.001256161 0.001003162
Fischer_Guenstling_1808 0.001775897 0.019584987 0.008365573 0.000559102 0.151359901 3.82E-05 0.001359343 3.58E-05 0.004286984 4.40E-05 3.19E-05 0.143784666 0.001948755 0.001201018 4.90E-05 0.0020064 5.72E-05 0.001450316 0.000160958 6.40E-05 4.38E-05 0.000125535 7.07E-05 0.000159606 0.038842565 0.002216329 4.62E-05 0.009886405 0.003038702 3.24E-05 0.008719255 0.010372817 0.000594857 0.000135773 0.006992116 0.000652662 0.00669409 0.009222527 7.61E-05 8.85E-05 4.61E-05 0.006325515 0.000120758 0.003240242 0.000241462 0.000289031 0.01127301 0.001345732 0.001115685 5.89E-05 0.006656178 0.001645558 0.002263729 0.000279099 0.000792281 0.038774399 0.000186363 0.008082331 0.002241865 0.001782281 0.000209869 4.84E-05 0.128303827 0.00562465 0.000160336 7.39E-05 0.002809122 4.61E-05 0.00026173 2.91E-05 0.000101845 7.19E-05 0.000682865 9.36E-05 0.06376805 0.009214993 7.58E-05 0.000172108 0.013055983 8.37E-05 0.000830973 4.89E-05 0.000606494 0.000136453 0.001478917 0.024786437 7.80E-05 0.0002589 0.016211211 0.001512052 0.000788998 4.12E-05 0.000695839 0.000599265 3.31E-05 0.029633879 0.00155695 0.170035375 0.000784345 0.002059444
Fischer_Gustav_1801 0.001562583 0.001709358 0.012001847 0.002745584 0.114245361 4.09E-05 0.00339606 3.84E-05 0.002418153 4.71E-05 3.42E-05 0.105455054 0.000145461 0.011736349 5.25E-05 0.001348118 6.12E-05 0.007677822 0.00031797 6.85E-05 4.68E-05 0.00013436 7.57E-05 0.000170825 0.028052639 0.003337689 4.95E-05 0.007181718 0.000184423 3.47E-05 0.005875099 0.022155648 0.000292241 0.002169827 0.001360773 0.00022507 0.004758333 0.009058551 0.000460985 9.47E-05 4.94E-05 0.018893363 0.000129247 0.00887759 0.002598388 0.001530153 0.019280349 0.001755922 5.66E-05 6.30E-05 0.003106365 0.001132514 0.012901295 0.000137029 0.001601611 0.01130661 0.000631466 0.009538828 0.015446566 0.001463885 5.88E-05 5.17E-05 0.189220526 0.004743315 0.000171607 7.91E-05 0.000458125 4.93E-05 0.000591484 3.12E-05 0.000109005 0.000230711 0.000238156 0.001716443 0.11015714 0.005517953 8.11E-05 0.001260544 0.004910531 8.96E-05 0.000338391 5.23E-05 0.010798178 0.000914858 0.001934808 0.026138811 0.000455576 0.000423651 0.02732188 0.000358672 0.001332975 0.001321352 0.000166314 0.000158727 0.000611461 0.026389993 0.001385731 0.118083864 0.000195928 0.000527958
Fischer_Honigmonathe_1802 0.0006233 0.017282521 0.011341161 0.002125387 0.121625402 4.02E-05 0.00147743 0.000657398 0.003861309 4.63E-05 3.36E-05 0.185375192 0.000142874 0.015461741 0.00032194 0.002755482 6.01E-05 0.002766908 0.000735847 6.72E-05 0.000811017 0.000298189 7.44E-05 0.000517762 0.034587028 0.004933138 0.000698971 0.009256928 0.000441054 3.41E-05 0.005768081 0.007872115 0.000684639 0.000233416 0.00586521 0.000484782 0.005403613 0.010425183 8.00E-05 9.30E-05 4.85E-05 0.01209496 0.008019194 0.004886647 9.10E-05 0.001440839 0.008166668 0.003202599 5.56E-05 6.19E-05 0.009797129 0.002401712 0.008405001 0.000134592 0.000992037 0.02191442 0.003517943 0.009977035 0.014010916 0.000431921 5.78E-05 0.000234427 0.055157797 0.001664244 0.000168556 7.77E-05 0.001131129 4.84E-05 0.000629445 0.000965638 0.000107067 0.000153892 8.10E-05 0.001338194 0.070448237 0.000783655 0.002316984 0.002285054 0.032101849 8.80E-05 0.006556005 0.000303078 0.000482957 0.000143449 0.00145819 0.045785854 8.20E-05 0.00044716 0.061396031 7.73E-05 0.002039343 4.33E-05 0.000243779 0.000155904 3.48E-05 0.035818173 0.000397466 0.098549353 0.001070237 0.010062176
