"Ahlefeld_Erna_1820" "Ahlefeld_Marie_Mueller_1799" "Anonym_Schwester-Monika_1815" "Arnim_Graefin-Dolores_1810" "Arnim_Isabella-von-Aegypten_1812" "Arnim_Kronewaechter_1817" "Brentano_Godwi_1801" "Bruckbraeu_Mittheilungen_1829" "Buchholz_Bekenntnisse_einer_Giftmischerin" "Buchholz_Der_neue_Leviathan" "Buchholz_Hermes_oder_ueber_die_Natur_der_Gesellschaft_mit_Blicken_in_die_Zukunft" "Campe_Robinson_1779" "Clauren_Liebe-und-Irrtum_1827" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Eichendorff_Ahnung-und-Gegenwart_1815" "Engel_Lorenz-Stark_1801" "Fischer_Christian_Hannchen_1800" "Fischer_Guenstling_1808" "Fischer_Gustav_1801" "Fischer_Honigmonathe_1802" "Fischer_Margarethe_1812" "Fischer_Vierzehn-Tage_1801" "Forster_Ansichten_1791" "Fouque_Falkenstein_1810" "Fouque_Magie-der-Natur_1812" "Fouque_Resignation_1829" "Fouque_Rodrich_1807" "Fouque_Spanier_1814" "Froelich_Kentucky_1819" "Goethe_Lehrjahre_1795" "Goethe_Wahlverwandschaften_1809" "Goethe_Wanderjahre_1821" "Goethe_Werther_1774" "Haller_Usong_1771" "Hauff_Bettlerin_1826" "Hauff_Lichtenstein_1826" "Hauff_Memoiren-des-Satan_1826" "Heine_Harzreise_1824" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_Hyperions_Jugend_1797" "Hoffmann_Elixiere_1816" "Hoffmann_Kater-Murr_1820" "Huber_Ellen-Percy_1822" "Huber_Klosterberuf_1830" "Huber_Luise_1796" "Huber_Seldorf_1795" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klingemann_Nachtwachen_1804" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Liebeskind_Maria_1784" "Manzoni_Die-Verlobten_1826" "Mereau_Amanda-und-Eduard_1803" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Novalis_Lehrlinge_1802" "Novalis_Ofterdingen_1802" "Paul_Feldprediger_1809" "Paul_Flegeljahre_1804" "Paul_Hesperus_1795" "Paul_Katzenberger_1809" "Paul_Loge_1793" "Paul_Luftschiffers-Giannozzo_1801" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Paul_Titan_1800" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Pichler_Agathocles_1808" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Florentin_1801" "Schlegel_Lucinde_1799" "Schopenhauer_Die-Tante_1823" "Schopenhauer_Gabriele_1819" "Scott_Ivanhoe_1819" "Spindler_Der-Jude_1827" "Stendhal_Rot-und-Schwarz_1830" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Albert-und-Albertine_1804" "Unger_Bekenntnisse_1806" "Unger_Julchen-Gruenthal_1798" "Voss_Ini_1810" "Vulpius_Rinaldo-Rinaldini_1799" "Waiblinger_Briten-in-Rom_1828" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Aristipp_1801" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798" "Zschokke_Goldmacherdorf_1817"
"Ahlefeld_Erna_1820" 0 0.675727431840068 1.02239885423469 1.00625246353952 1.04729973365391 1.03772393351778 1.02420768867358 0.929856160503694 0.965585033861596 1.02975432168579 1.03757995915476 1.13102740821643 0.918135475390251 1.0454139077963 1.21759061067769 1.06382469329476 1.1002362412707 1.00868228721201 1.05759080103737 1.14164567353819 0.947876970895079 0.979572730470269 1.1239354771065 1.08670430538318 1.0501863781105 0.974907092342025 0.814003302171254 0.854464412582113 0.982986310476353 0.76343355980568 0.86074702271002 0.912991257752834 1.00184207971594 0.909851353254165 0.937469886776779 1.08893489943372 1.02897479722305 0.98422953010719 0.99332660730404 1.04130080981804 1.04769814554222 1.0785963796523 1.02763674945628 1.0951404113195 1.20084360463762 0.942819169263205 1.02819310990493 0.957523352664014 0.900932578249512 0.964580186338704 0.821133731896375 0.843956895295436 0.936483469528171 0.843786944040059 1.09184139448213 1.01082756312572 1.04214959855002 1.03113742809483 0.951985090636253 1.13070777462751 1.11865286550382 1.04157035385053 1.01649402069248 1.10171671310001 1.04748147790012 1.1143665743271 1.07643081749397 1.12236388176785 0.815886001635188 0.788856100282232 1.15035177711253 0.976710613308116 1.02292865176714 0.953881486015281 1.15259644072664 1.05698201873638 1.0395097942545 0.996140060375247 1.14642698963111 0.959567692090952 0.913372726789655 1.08680627176855 1.04578755580572 1.01054656341074 1.05214362964234 1.10093812543866 1.10792314279121 1.07598918242914 1.05258797399081 0.917126203645786 1.19752022720798 1.008276352189 0.862432254674252 1.08014536056194 1.0775789757873 1.05823978164792 1.01077464482363 0.969421918593263 0.852154544224251 0.772360790040969 0.66706005832809 0.986887278273706 0.995264613909834 0.979546290103357 1.02868923769232 1.04061428959109 1.09950609793466 0.896622097641207 0.952588819161816 1.00992988690641 0.914948624193991 1.13042734524215 1.07523016071172 1.07832506886522 1.11915030030607 1.12398894290825 1.1866203528989 1.01853097775002 1.0746353520268 1.08304323916177 1.02605195843778 0.944372594491903 0.749869816054172 1.14461661709645
"Ahlefeld_Marie_Mueller_1799" 0.675727431840068 0 1.06353797709529 1.01026408555166 1.03790695897616 1.07666609108235 0.940347379744356 1.02484076704828 1.02226606687564 1.14793586427126 1.14898558676318 1.14891912108628 0.927247336512671 1.02718987742717 1.16203695227134 0.978642191147836 0.946729153432746 1.03230033045968 1.02568146099913 1.0208359811908 0.925366280125573 0.860832132693896 1.03409279921584 1.03549710611514 1.00540441022716 1.1518957629975 0.930019402121351 0.966617557688553 1.01975222094208 0.864788953044417 0.915731266197819 0.906430072981901 1.02516410395259 1.01453586531585 1.11645936646635 0.973730238292638 1.01357534923093 0.948761878547043 1.05276344590571 1.1510193320726 1.08494394547518 1.13194898489631 1.08232258077969 1.13389720969532 1.1453673125512 0.941199980905606 0.961646420357263 0.918309641223445 1.01934136286316 1.07550645837307 0.869417902334433 0.872812306172118 0.868579265111004 0.818173599060502 1.08869122719539 0.98095742034862 1.10927482545702 1.04646879713445 0.918988831556569 1.18362938703167 1.11360643579423 1.11039202246397 0.905690608391947 0.91780141451719 0.879191774134764 1.06389685147094 0.861190448067565 1.20352863930659 0.757690562577637 0.788132359990121 0.966343076131119 1.01160261437474 1.03038617243415 0.961535695832237 1.17507862259731 1.00564759387514 0.935010111368651 0.940541543015099 1.14618576229984 1.03989193742465 0.92909100035748 1.17090158294835 1.08293536836721 0.968660406622166 1.13656959590253 1.06678181763979 1.14393021008106 1.05583071757183 1.07250906424618 0.937154028512747 1.13014353914779 1.00358979156108 0.79403039798652 1.02946917767974 1.0709970905298 1.03549059355549 0.959978274464639 0.976808627136235 0.899982915640771 0.911751069992737 0.805551608678853 1.0989333795723 1.04131182169899 1.04083348377455 1.03821422797923 0.979847247833638 0.960390669668704 0.942257536453108 1.02641674398111 0.938828993012817 1.05472240186273 1.03455022471797 1.07271267957356 1.06170990857612 1.0173638691253 1.07117210299043 1.23894907351755 1.01823661952627 1.16623199159736 1.11033699851077 1.08308274429903 0.720597182242889 0.744032452466024 1.15651379835638
"Anonym_Schwester-Monika_1815" 1.02239885423469 1.06353797709529 0 1.04035905935074 0.945545462657176 0.983846924127812 0.962152187561079 0.999551507900021 1.06150576299002 1.05613994319099 1.05508104703156 1.00084338730169 0.975857124376615 0.893577314249628 0.919483164464091 0.986472810521504 1.00354912621802 0.930989811461019 1.0809304156288 0.865328608162157 1.0499907502325 1.01558040274595 1.02876403265487 1.01074556901641 0.99890370364956 1.00944484457773 1.02029834934591 0.96553908944142 1.06804870780616 1.03315421473706 0.99665086976388 1.05092768095133 1.05437725286208 1.06522777160994 1.05565437510589 1.00630081012663 1.03974821842567 0.979770879096082 0.964937787653439 0.966354280011326 0.964771414058921 0.96055509482494 0.956809366925889 1.01188967032998 1.00592241124366 1.03817653958953 1.01369495900568 1.07520429115508 0.909686730316849 0.951267858018401 1.05023649487896 1.03076951604601 1.06958428838927 1.00598299443124 1.00242154011946 1.01235772651277 0.955898904917205 0.924563066831819 1.05621910962497 1.07502783476157 1.03699131386348 1.07195539341084 1.04262420123986 1.02737528591725 1.05641638839729 1.07932075752476 1.06838134297598 0.986764404291062 1.10121884362378 1.05685231017597 0.990148899037398 1.08664195077205 1.02017405937933 0.970973460922578 1.03169660170399 1.05799673919317 1.08721435690878 1.07147649035655 1.07170826273221 1.04076578730244 1.01360679241189 0.993960545347816 1.00467443704518 1.00215007628574 1.01477969768878 0.957636731309752 0.974958426835619 0.965273009686775 0.970178071193233 0.986662017184995 0.980749506845466 0.939328911898015 1.08479810608584 0.8053283039643 0.842460687828001 1.03705991075359 0.750055161872287 1.03611984398461 1.00515530107584 1.07470489158936 1.09317730874561 0.957271911333289 0.940732321111878 0.978714949733039 0.974559426568957 1.05994575979963 1.11527071654455 1.00933259431996 1.06079367276314 1.00480840939619 1.01324694930547 0.900971454686857 0.949329307628627 1.00217433129677 0.934119421555847 0.917863928417304 1.09075960738999 1.10098959676503 1.09616316831191 1.0898833031761 1.07407936466901 1.06842271627142 1.0506047416028 1.00771510092075
"Arnim_Graefin-Dolores_1810" 1.00625246353952 1.01026408555166 1.04035905935074 0 0.645638461171728 0.61025342475763 0.918426131878407 0.962452077389434 1.0615800072768 1.10964110511516 1.10746623377742 1.02719313208359 0.940192051717807 1.04337120459344 1.01316369519452 1.09959066605582 1.0899619463098 0.818343822913414 1.01664479404198 0.991238594932636 1.07014096834553 1.0456245336154 1.06337499995114 0.994304200072713 1.03141905740753 1.08334924669328 0.891483854549941 0.972420715944167 0.970313786118101 0.91260462668855 0.982999442514296 0.998763667361392 0.939399255618366 0.970366999607433 0.984951013678181 0.959872602300299 1.01471904281742 0.976542241486339 0.952733021655554 0.964229600881891 0.9556035436395 1.03618137644366 1.02630741710962 1.03414758650261 0.997963859166593 1.01047931943632 1.01328572257941 0.987497596685604 0.897284311912809 0.949583318049618 0.993123681061021 0.951188868552955 0.946708844096581 0.992936253233973 1.04922306520885 1.02472606764232 1.02029769439948 1.03646674401934 1.03971958369523 1.0398677196014 1.02024719448195 1.11386836432529 1.01958177818754 0.992242671794371 1.04866308832664 1.06388402225136 1.0361079319715 1.01690397632245 1.01504755105288 1.06900738781835 0.951059196358348 0.974840154361223 1.0102096901914 0.999583979357327 1.04599951440487 1.05725320444354 1.03806380668543 1.00729474701177 0.982184877636635 1.01946616070495 0.954333426169226 1.03088855967541 0.952427315073874 1.04658493654697 1.02908343208209 1.03587415523596 1.01542089348228 1.03515349827225 1.02318556229713 0.930550051306065 0.993452366492868 1.0020102484076 1.08233719587089 1.0166880299216 1.07230444058496 1.02269677993363 1.02427612218936 0.909077881714781 0.975930456887064 0.960741284968249 0.932015240083452 1.05264854150587 0.97182104681985 0.950913845025622 1.05447885756262 0.935268286244543 1.00600132583821 0.946137844679833 1.06452333871594 0.964819804825649 1.01835145571181 0.981288610369559 1.0310609161264 1.018297988206 0.908199799070288 0.995267546119408 1.06907308237105 1.12417592303795 1.15147699555402 1.10954110731204 1.10410963771564 1.08101661640163 0.998576064557835 0.929418305257465
"Arnim_Isabella-von-Aegypten_1812" 1.04729973365391 1.03790695897616 0.945545462657176 0.645638461171728 0 0.603816051033048 0.964330362370266 1.01524633784539 1.09873780835868 1.12010807341511 1.11666645248009 0.981342176314031 0.988825652311158 0.985271587676657 0.968401624492057 1.11716079137596 1.06841276089325 0.885285200547098 0.989805871128911 0.901631992518747 1.05067812867209 1.01501713083391 1.06278829638367 0.990131774733909 1.03070402939669 1.12604123202177 0.941811975572285 0.919832513992795 1.00742071973904 0.973437095252361 0.986404537401515 1.05666595011129 0.990551109226208 1.03690502399562 1.03369325473562 0.994594192953337 0.995946610226571 0.975811112481909 0.912989809547524 0.9733359878682 0.953333846481555 1.06525113021042 1.08063565971721 1.03907023464668 1.01278399695529 0.996439436395746 0.997624291684969 1.02180569168008 0.932974777216864 0.947761831901923 1.0030330422362 1.02233249444854 0.996642254146641 0.962134262630936 1.06935442948718 1.02327553897331 0.948964388437482 0.966626812074089 1.04023328206603 1.05705075540498 1.0137676123615 1.11266513448178 1.08016959133228 1.03039829984838 1.08121757710404 1.11223222997398 1.03695595408199 0.967542572633307 1.12565594620241 1.05403507442242 0.923153432761742 0.989297552876235 0.957465604580895 1.01686720263374 1.02850039779124 1.03629159565694 1.01314071613539 0.96141625416793 1.02578940772201 1.03388370484124 0.981728310244912 0.981689954231942 0.949156608734235 1.04293364589928 1.02349603818258 1.04703962390118 1.00752009939556 1.02332032158039 0.991312463368026 0.947705200251157 0.952621558445736 0.982639160738764 1.10025894875109 0.909075681817702 1.01440540633033 1.00095618169506 0.992940296431923 0.993978967275064 1.0425366317923 1.00572843329038 0.978394828442331 0.966349714904151 0.870589888369288 0.923450808934001 1.05363151939985 1.01462325111244 1.07784224928807 0.974710199599707 1.11862065615773 0.996399384984027 1.03846951029156 0.921892277158416 0.961455693406397 0.975974180520959 0.899334024122294 0.920351433039103 1.03967208723919 1.09286375276639 1.15812499195336 1.10877583427117 1.09690381186681 1.12988791548855 1.07295966585219 0.91476269426907
"Arnim_Kronewaechter_1817" 1.03772393351778 1.07666609108235 0.983846924127812 0.61025342475763 0.603816051033048 0 0.960847508425448 1.02785167189186 1.14190497625831 1.12975243781066 1.1196991163976 0.990018096109445 0.959795644517776 1.00157224256402 0.986912611197802 1.15733149880531 1.09616268957634 0.834475887777151 1.01097321568776 0.958513109459131 1.07490789779678 1.07573474905039 1.08246602329163 0.970391126241459 1.03239857844032 1.09144166289383 0.909964859181361 0.918263299284705 0.988733490899672 0.921703191966965 0.968423191875273 1.00742216891074 1.0177097033151 1.01803984500308 1.01109512226363 0.999214079352356 0.972313377199644 0.957853175825341 0.747972032610317 0.947775316007411 0.917798115833997 1.04281137332478 1.07021070964766 1.01351003232844 0.9710993390954 1.00593019260962 0.991974661772721 1.00419719327205 0.873437261647782 0.923304976817907 1.01124155216305 0.990219765790144 1.03627781115595 0.959373122018122 1.07765181177619 1.0460140175455 0.954368851866851 0.945404782556846 1.04849374202143 1.06147697454698 1.01663655772776 1.10903361420115 1.04494027569415 1.01318885928447 1.13864946756551 1.13745164242473 1.07811065347717 0.884446072564896 1.13074068852541 1.09637249703568 0.933991808923965 1.04876666092606 0.969346592957427 0.994597085802886 1.03131312727737 1.00618380035233 1.07557782748945 0.977529024012955 1.05237519705985 0.992102885906108 0.926185894189099 0.995466940646191 0.951766246070658 1.05180147868891 1.04276189515575 1.05484026215132 0.979328393834633 1.00934204621186 0.992885199931709 0.937524318412595 0.901399137661214 0.960210292510221 1.12761824409985 0.956242654932514 1.04924767518971 1.03590878849723 1.0482565233649 0.990138081564535 1.09201710637369 1.00889703898539 0.991827398335518 0.892273630357521 0.752111713861897 0.949342837591487 1.01988806858912 0.887802150303976 1.09270828345364 0.981292676046557 1.15052768461094 1.03784571432289 0.941243516881381 0.889788851582146 0.940339565142958 1.01930091414475 0.975471544158583 0.955610618023381 1.05105089339532 1.18565536275194 1.1920683255524 1.12219702266646 1.17807857297037 1.13043476009567 1.081696057761 0.846868396155772
"Brentano_Godwi_1801" 1.02420768867358 0.940347379744356 0.962152187561079 0.918426131878407 0.964330362370266 0.960847508425448 0 1.10383316957942 1.14638458731958 1.13509332847992 1.12760583024519 1.06621004624344 0.991018206718123 0.977446637516349 1.01142748974192 1.00072745765645 0.947805727932323 0.821747573761197 1.06464994859186 0.959824534065891 0.9846126953145 1.02988393223657 0.978871144282012 0.929834016834177 1.06633477575322 1.08486727452159 0.930697154446911 0.969095011750385 0.927295171302804 0.912108284271525 0.930708941855551 0.968173885274419 1.03795106200521 1.06975326239435 1.05854801288027 0.828067717632257 1.1344345660705 0.927030613689316 0.971967142937808 0.985478467791761 0.854452418900081 0.960729961179266 1.01222292451823 1.12066100663847 0.981815374253204 0.91567473244725 0.858119153053437 0.90115469667305 0.966435006279997 0.988278769847152 1.09649861374196 1.00586972674854 1.111378720515 1.00406493282503 0.942523177423213 1.01307380498549 0.88865993633495 1.01354883829073 0.995524249719357 1.15622949781363 1.11825296631707 1.10397480202259 0.972986903595151 0.97215155078851 1.03440920146434 1.00300678930699 1.00319581914171 1.08624467671635 0.857178001879941 0.991540457473032 0.911301980604501 1.06188014481396 0.962606345304247 0.926267943049984 1.07729908706967 1.11281126544952 1.1450338233874 1.14200360066986 1.16244599199705 0.90546638823803 0.882038782414116 1.06388668933817 0.941940588040684 0.919151166565507 1.00406613775077 0.910887192707047 0.960611513762789 0.929854642903162 0.950400644618823 0.857055444681217 0.964364912993762 1.04996507184093 1.00007438446266 1.02074595033744 1.04054556013311 1.06618941229996 0.996237334496265 0.995228652630957 0.874594243235104 1.05490597665876 0.978580902245865 1.11034616177865 0.994052033424964 1.05584379287083 1.06068629999496 0.806065442438202 0.802377501415811 0.984556464866594 1.11650156978447 1.01126900622909 1.09079269950596 0.933327124153653 1.02033761409137 1.14237244377677 1.02768802467121 1.07782270783417 1.17817223544664 1.18494996736406 1.14009421617762 1.19406460266019 1.17269001065838 0.973958367386197 0.970109075301062 1.06365717666757
"Bruckbraeu_Mittheilungen_1829" 0.929856160503694 1.02484076704828 0.999551507900021 0.962452077389434 1.01524633784539 1.02785167189186 1.10383316957942 0 0.904682165024042 0.892165868768288 0.915687559219201 1.07093518459037 0.893197431002455 1.00011728276996 1.0215140733455 0.986528563506462 1.09086505147199 1.04114871127439 1.02156411370709 1.09597797623388 0.981927660242335 1.07315947291084 1.07987921356723 1.08331545759038 1.0152417733749 0.881860577586234 1.03314290048278 1.04719719639787 1.06982958481507 1.08623316421065 1.08440893550282 0.958090280627584 0.948997843986823 0.942340461706541 0.919039878320703 1.13933265657098 0.932574391383455 1.00859904043168 1.00343456218705 0.907256491154198 0.991162356597644 1.07200755906163 0.929018065448871 0.938944332366028 1.0560272558956 1.11264568809986 1.17437231220843 1.11560169132441 0.985680929445039 0.980573593241505 0.923349069042733 0.966256517472895 0.926344788123045 1.02143578980545 1.13573368734715 1.11639178508526 1.00862767354136 0.983052468096237 1.00919321917666 0.900778058457702 0.94656440285573 0.974199298200742 1.00276648532469 1.06241261958812 1.01466356119473 1.04528870065951 1.05768279549934 0.981985530335472 1.07449086838441 1.00643406367191 1.18265077103391 1.00891728876997 1.09754039692653 1.03096629247351 0.994379600193269 0.951976495542071 1.0024599581458 0.9447848641898 0.977916691835611 1.04256840232692 1.02217762116913 0.974949258622241 1.02427003210665 1.0516634217349 0.973670758307024 1.04761927029195 1.01794135719831 1.0297593468395 1.03637015516014 1.06822125150464 1.17187992521041 0.977399662811822 0.973826186374188 0.963472776371731 0.937559458926909 0.969639534086059 1.02002663222833 1.02182413476616 1.06473169568058 0.876077783422147 0.902977315217985 0.906707292780014 0.984719261140274 0.911321648123228 0.915432206762807 1.11985752470411 1.15887948254376 0.945945458282468 0.896170850782575 1.02644392404415 0.906135184262254 1.030943963267 0.999411656236917 1.00136266994098 1.02762892432717 1.03297730673528 0.961629527302733 0.953604581432547 0.918285477626001 0.917030940182674 0.898772900898701 1.02118977495229 0.954769135710044 1.04918729410106
"Buchholz_Bekenntnisse_einer_Giftmischerin" 0.965585033861596 1.02226606687564 1.06150576299002 1.0615800072768 1.09873780835868 1.14190497625831 1.14638458731958 0.904682165024042 0 0.665143575271782 0.707068546880698 0.995828568680152 1.02376397750338 0.960229177969692 0.991055796099993 0.919238454205774 1.04279922391323 1.1498115761224 0.943260113861238 1.09742463538208 0.990388776621571 0.989530926079311 1.02153613217611 1.05826991328647 0.990996101748053 0.94261826835014 1.1221756514436 1.09726832741309 1.01622266324344 1.14225639968694 1.12746718642371 1.06939473359983 0.888248138032403 0.900545790183401 0.923177689910286 1.11266458089436 1.01520031912027 1.08534872379102 1.17405194649935 1.05562883414212 1.1550468900529 1.04736487788154 1.02313281131243 0.936035628239576 1.01968811931784 1.11302135472402 1.20048260619656 1.10181848597647 1.07078638785725 1.06836232368544 0.862004421825661 0.99462294669533 0.813295349234935 1.02691484920542 1.02573242969313 0.932087420620764 1.09014433480193 1.09754761000257 1.00528920110948 0.904229494994114 0.972529288395269 0.926103346695851 1.05773876731881 1.03286936351032 0.942730990692705 0.986677678351636 0.930208509879953 0.977142784884526 1.04416539688431 0.98085400114781 1.11962822746951 0.889232247282296 1.07374664101432 1.11099836056619 1.02120771713417 0.929115172541318 0.815683700396247 0.954457447539003 0.908812166400737 1.07223002959216 1.11589124873772 1.05892701109834 1.18180336888608 1.15764910786971 1.09101666038956 1.12433980402316 1.13931924475395 1.15963853793948 1.14485359264016 1.23834665294358 1.13214683755914 1.02672355089491 0.950227866323724 1.02212301725227 0.934823467185697 0.918552268692569 1.02707657610471 0.967338787505563 1.03467445904063 0.938646625934995 1.03396903296693 1.04596713356194 1.15619834760371 0.967483326214394 0.992998825695836 1.14327914289027 1.03389783302162 0.976339070675904 0.493591260090254 0.927183288332335 1.00363271942956 1.12754321352319 1.11746623803396 0.968825254944076 1.02873345774826 1.04662453605246 0.854953906705855 0.77067098277723 0.786707976696248 0.813189311476066 0.775644894562445 0.947535007225475 0.975023119872488 1.03818704061837
"Buchholz_Der_neue_Leviathan" 1.02975432168579 1.14793586427126 1.05613994319099 1.10964110511516 1.12010807341511 1.12975243781066 1.13509332847992 0.892165868768288 0.665143575271782 0 0.358054871084882 0.990425833358993 1.10640780867712 1.05795608438498 1.05869431653042 1.00460945126743 1.10489644406352 1.16677212598335 1.03916218764426 1.19442708892848 1.00064063405332 1.11058663549371 1.01795052343786 1.09694241963203 1.05056267673836 0.660427066758248 1.13190203994307 1.05899641118756 1.06674510171336 1.1063086940129 1.10804330244959 1.02172287837577 1.03167307857797 0.951785741017089 0.900899797446452 1.14499197514977 0.902498574280202 1.14597587582088 1.14549265954602 1.06915584883963 1.06820505138261 0.898767925626388 0.930930574615513 0.888678365582691 1.03478084587466 1.10019744829989 1.1270188513728 1.10130371793696 1.07664212650333 1.06995641077937 1.03938151524881 1.02685719008289 1.01159023305586 1.0983972108211 0.972045736556237 1.03722147410699 1.00132130248172 1.02275133714235 0.978946116704076 0.745441873309146 1.00058628622683 0.662463768305804 1.05056089395644 1.13011366453265 1.02558584703136 0.990340698128132 1.08911058489489 1.0084375295595 1.06080015559965 0.97041779681744 1.24511131773008 0.985628745299026 1.01845793861403 1.05924556808897 0.974472600154256 0.959787092792999 1.00116866078289 1.03046564588416 0.917479750483515 0.959116037130922 1.07326281451982 0.998801450259028 1.11179513372927 1.06173678677942 0.978396465141641 1.04207719248535 1.0091348219853 1.04000355544696 1.04832581732985 1.15926251675614 1.11167601622335 1.07149423754254 0.974801915254377 1.10372885864094 0.946460779591297 0.963250878040685 1.13623268521448 1.10366677078855 0.997617278421755 1.05021857977688 1.08481393846375 0.976535369955637 1.12188032339069 1.06717255249472 1.01513260314551 1.14441696203023 1.07623143459631 1.09345684233073 0.532877171212343 1.11250153042738 0.869976473929651 1.16377855235017 1.07431069193026 0.924743777884709 1.13463945719557 1.05701932604872 0.815588531692854 0.794526644650779 0.724388836275387 0.686620622726166 0.808298236066307 1.05330879715092 1.06322160538296 1.0329198966117
