"m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Goethe_Wahlverwandschaften_1809" "m_Heinse_Ardinghello_1787" "m_Knigge_Braunschweig_1792" "m_Lesage_Teufel_1707" "m_Mueller_Siegfried_1779" "m_Paul_Hesperus_1795" "m_Schnabel_Kavalier_1738" "m_Stendhal_Rot-und-Schwarz_1830" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"zugleich" 0.0228410058348388 0 0.0542754231015937 0.0353678253839935 0.0215679930982422 0.0262446526520222 0.00905028564964082 0.0148544266191325 0.0319317065678266 0.0341597075347593 0.00929696361168442 0.0339450994591414 0.0306322864298971 0.0424800242742996 0.013387239283515
"wovon" 0.00830582030357773 0.00462909385487791 0.0180918077005312 0.013894502829426 0.0196072664529475 0.0157467915912133 0.00565642853102551 0.0106103047279518 0.00687137989434243 0.00436081372784161 0.00247919029644918 0.0271560795673131 0.0144151936140692 0.00606857489632851 0.0013387239283515
"geheimnis" 0 0.00231454692743895 0 0.013894502829426 0.00294108996794212 0.00262446526520222 0 0 0.00646718107702817 0.010902034319604 0.00433858301878606 0 0.00540569760527596 0 0
"solchen" 0.0159194889151907 0.00925818770975582 0.0435848094603707 0.0593674211802749 0.0186269031303001 0.0524893053040443 0.0169692855930765 0.0381970970206264 0.0396114840967975 0.0443349395663898 0.0142553442045828 0.00452601326121886 0.00900949600879327 0.0566400323657328 0.00937106749846047
"ohren" 0.00138430338392962 0.00694364078231686 0.00328941958191477 0.00378940986257074 0.015685813162358 0.00524893053040443 0.00339385711861531 0.0254647313470843 0.0194015432310845 0.00799482516770963 0.00619797574112295 0 0 0 0.0013387239283515
"jedoch" 0.0207645507589443 0.0208309223469506 0.0246706468643608 0.0315784155214228 0.0470574394870739 0.0262446526520222 0.0192318570054867 0.00424412189118071 0.00282939172119982 0.1431800507308 0.00929696361168442 0 0 0 0.00401617178505449
"unterdessen" 0.00207645507589443 0.00231454692743895 0 0.00631568310428456 0.00490181661323687 0.00787339579560664 0.011312857062051 0.0169764875647229 0.00121259645194278 0.0319793006708385 0 0 0 0.00202285829877617 0
"inzwischen" 0.000692151691964811 0.0138872815646337 0.000822354895478693 0 0.0294108996794212 0 0 0 0.00727557871165669 0.0138092434714984 0.00495838059289836 0.00226300663060943 0 0 0.0013387239283515
"habt" 0.00415291015178887 0.0138872815646337 0 0.00631568310428456 0.0127447231944159 0.00524893053040443 0.10634085638328 0.00636618283677107 0.00444618699045687 0.0247112777911025 0.00123959514822459 0 0 0 0.0013387239283515
"kopf" 0.0290703710625221 0.0856382363152413 0.0337165507146264 0.00757881972514147 0.0637236159720792 0.0183712568564155 0.0169692855930765 0.029708853238265 0.0392072852794833 0.0319793006708385 0.0297502835573902 0.0497861458734074 0.0450474800439663 0.00606857489632851 0.0187421349969209
"gehabt" 0.0228410058348388 0.0347182039115843 0.0131576783276591 0.00884195634599838 0.0176465398076527 0.0314935831824266 0.0282821426551276 0.0318309141838554 0.00929657279822799 0.0334329052467857 0.0347086641502885 0.015841046414266 0.00720759680703461 0.0283200161828664 0.0160646871402179
"nötig" 0.0297625227544869 0.0115727346371948 0.00575648426835085 0.0239995957962813 0.00392145329058949 0.0104978610608089 0.0192318570054867 0.00424412189118071 0.0117217657021136 0.00581441830378882 0.0142553442045828 0.0226300663060943 0.0216227904211038 0.00404571659755234 0.00401617178505449
"deswegen" 0 0.00694364078231686 0.00164470979095739 0.0202101859337106 0.0401948962285423 0.0183712568564155 0.00452514282482041 0.00636618283677107 0.0101049704328565 0.00581441830378882 0.00123959514822459 0.0135780397836566 0.0180189920175865 0.0161828663902094 0.0013387239283515
"desto" 0.0560642870491497 0.0138872815646337 0.0402953898784559 0.0353678253839935 0.0225483564208896 0.0209957221216177 0.0181005712992816 0.0106103047279518 0.0157637538752562 0.0392473235505745 0.00495838059289836 0.00678901989182828 0.0162170928158279 0.0364114493779711 0.0147259632118664
"davon" 0.0872111131875662 0.0624927670408518 0.0180918077005312 0.0378940986257074 0.0696057959079635 0.0629871663648532 0.0724022851971265 0.05941770647653 0.029506513663941 0.0392473235505745 0.0303700811315025 0.07920523207133 0.0756797664738635 0.0930514817437039 0.0254357546386784
"gute" 0.0429134049018183 0.0231454692743895 0.0287824213417542 0.0492623282134196 0.0274501730341264 0.0866073537516731 0.0407262854233837 0.0466853408029879 0.0472912616257685 0.0661390082055978 0.0247919029644918 0.0520491525040168 0.0792835648773808 0.0182057246889855 0.0562264049907628
"person" 0.00415291015178887 0.0138872815646337 0.010690613641223 0.0126313662085691 0.0196072664529475 0.0262446526520222 0.022625714124102 0.0190985485103132 0.0117217657021136 0.0843090654049379 0.00929696361168442 0.047523139242798 0.0576607744562769 0.0182057246889855 0.00267744785670299
"dadurch" 0.0283782193705573 0.0115727346371948 0.0156247430140952 0.0467360549717057 0.0176465398076527 0.0183712568564155 0.0237569998303071 0.0127323656735421 0.0226351337695986 0.00654122059176242 0.0117761539081336 0.0384711127203603 0.0558588752545183 0.105188631536361 0.0174034110685694
"wurde" 0.040144798133959 0.166647378775605 0.00575648426835085 0.0543148746968472 0.0764683391664951 0.181088103298953 0.0972905707336388 0.0657838893133011 0.111558873578736 0.175886153689612 0.0793340894863738 0.138043404467175 0.169378524965313 0.19014868008496 0.0830008835577927
"gewisse" 0.00484506184375368 0.00694364078231686 0.021381227282446 0.013894502829426 0.0107839965491211 0.0131223263260111 0.0011312857062051 0.00212206094559036 0.0137427597886849 0.00363401143986801 0.0111563563340213 0.00452601326121886 0.0108113952105519 0.0202285829877617 0
"könig" 0.00484506184375368 0 0.00657883916382954 0.00252627324171382 0.0147054498397106 0 0.0203631427116918 0.0254647313470843 0.00646718107702817 0.00436081372784161 0.0179741296492566 0.00226300663060943 0.00180189920175865 0.0101142914938809 0
"hab" 0.00138430338392962 0 0.000822354895478693 0 0.0294108996794212 0.00787339579560664 0.0022625714124102 0.0530515236397589 0.0303149112985695 0.000726802287973603 0.00681777331523524 0.047523139242798 0.00360379840351731 0.0404571659755234 0
"selber" 0.00346075845982406 0.00231454692743895 0 0 0 0.0209957221216177 0.022625714124102 0.00636618283677107 0.141469586059991 0.00145360457594721 0.0495838059289836 0 0 0.00404571659755234 0.0013387239283515
"diejenigen" 0.0124587304553666 0.0231454692743895 0.00411177447739346 0.00884195634599838 0.00686254325853161 0.00262446526520222 0.00452514282482041 0.0106103047279518 0.00161679526925704 0.0123556388955512 0 0.00905202652243771 0.00180189920175865 0.0262971578840902 0.00535489571340598
"wasser" 0.0830582030357773 0.0185163754195116 0.0222035821779247 0.0315784155214228 0.0470574394870739 0.0104978610608089 0.00791899994343571 0.0169764875647229 0.0169763503271989 0.0174432549113665 0.00371878544467377 0.0113150331530471 0.0108113952105519 0.00202285829877617 0.00267744785670299
"dergleichen" 0.00969012368750735 0.00694364078231686 0.00328941958191477 0.0214733225545675 0.00490181661323687 0.0236201873868199 0 0.0339529751294457 0.00687137989434243 0.0952110997245419 0.00557817816701065 0 0.00720759680703461 0.0161828663902094 0.0013387239283515
"herum" 0.0193802473750147 0.00694364078231686 0.00493412937287216 0.00884195634599838 0.0431359861964844 0.0157467915912133 0 0.0169764875647229 0.0101049704328565 0.0188968594873137 0.00309898787056147 0.00452601326121886 0.00540569760527596 0 0
"sondern" 0.118357939325983 0.048605485476218 0.0731895856976037 0.0467360549717057 0.0372538062606002 0.0813584232212687 0.0147067141806663 0.0657838893133011 0.153595550579419 0.241298359607236 0.0179741296492566 0.0452601326121886 0.041443681640449 0.0869829068473753 0.0415004417788964
"wären" 0.0885954165714958 0.0185163754195116 0.0230259370734034 0.00884195634599838 0.0245090830661843 0.0157467915912133 0.00452514282482041 0.0233426704014939 0.0315275077505123 0.0334329052467857 0.0179741296492566 0.0203670596754848 0.0270284880263798 0.0283200161828664 0.0174034110685694
"wollt" 0.000692151691964811 0 0 0.00126313662085691 0.0117643598717685 0 0.0282821426551276 0.0424412189118071 0.0286981160293125 0.00145360457594721 0.00309898787056147 0.0113150331530471 0.00180189920175865 0 0.00535489571340598
"geringste" 0.0394526464419942 0.0208309223469506 0.00822354895478693 0 0.00588217993588424 0.00262446526520222 0.0124441427682561 0 0.00282939172119982 0.0210772663512345 0.0161147369269197 0.0113150331530471 0.0108113952105519 0.00404571659755234 0.00803234357010897
"rücken" 0.00346075845982406 0.0208309223469506 0.00822354895478693 0.00631568310428456 0.0107839965491211 0.00524893053040443 0.00791899994343571 0.00636618283677107 0.00727557871165669 0.00290720915189441 0.00371878544467377 0.00226300663060943 0 0.00809143319510468 0
"euch" 0.0193802473750147 0.0185163754195116 0.00328941958191477 0.0214733225545675 0.0352930796153054 0.0262446526520222 0.8869279936648 0.0148544266191325 0.0262729231254269 0.17152533996177 0.00867716603757213 0.0113150331530471 0.00540569760527596 0 0.0896945031995502
"tat" 0.0449898599777127 0.0578636731859738 0.0296047762372329 0.0416835084882781 0.0480378028097213 0.036742513712831 0.0724022851971265 0.0509294626941686 0.0375904900102262 0.0385205212626009 0.0582609719665557 0.00905202652243771 0.0396417824386904 0.0606857489632851 0.0254357546386784
"beiden" 0.0858268098036366 0.0462909385487791 0.0394730349829773 0.0555780113177041 0.0303912630020686 0.0682360968952576 0.0543017138978449 0.0615397674221204 0.0181889467791417 0.0661390082055978 0.0489640083548713 0.0113150331530471 0.0342360848334144 0.0525943157681804 0.0160646871402179
"wein" 0.00207645507589443 0 0.00822354895478693 0.00884195634599838 0.00980363322647373 0.0104978610608089 0.0101815713558459 0.00424412189118071 0.00565878344239965 0.0690462173574922 0.00433858301878606 0 0 0 0.00267744785670299
"absicht" 0.0186880956830499 0.0162018284920727 0.0254930017598395 0.0176839126919968 0.00196072664529475 0.0131223263260111 0.0282821426551276 0.0233426704014939 0.010913368067485 0 0.0117761539081336 0.0113150331530471 0.00900949600879327 0.0101142914938809 0.013387239283515
"darin" 0.0318389778303813 0.0231454692743895 0.0435848094603707 0.0189470493128537 0.0401948962285423 0 0.0701397137847163 0 0.0606298225971391 0 0.0322294738538393 0.0429971259815791 0.041443681640449 0.0445028825730758 0.00669361964175748
"leuten" 0.00969012368750735 0 0.000822354895478693 0.00252627324171382 0.00490181661323687 0.0236201873868199 0.0124441427682561 0.0360750360750361 0.0137427597886849 0.0181700571993401 0.0204533199457057 0.0271560795673131 0.0198208912193452 0.00404571659755234 0.00401617178505449
"zweiten" 0.0159194889151907 0.0115727346371948 0.010690613641223 0.00505254648342765 0.00294108996794212 0.00787339579560664 0.0135754284744612 0.0190985485103132 0.0420366770006831 0.00581441830378882 0.0142553442045828 0.015841046414266 0.00900949600879327 0.00606857489632851 0.00535489571340598
"land" 0.0885954165714958 0 0.00740119405930824 0.00252627324171382 0.023528719743537 0.0104978610608089 0.00791899994343571 0.0318309141838554 0.00929657279822799 0.00654122059176242 0.00681777331523524 0.015841046414266 0.00540569760527596 0.0101142914938809 0.00669361964175748
"hierauf" 0.0526035285893256 0.00231454692743895 0.00328941958191477 0.00631568310428456 0.00784290658117899 0.00787339579560664 0.011312857062051 0.0233426704014939 0.000404198817314261 0.0995719134523835 0.00185939272233688 0.0113150331530471 0.00900949600879327 0.0101142914938809 0.010709791426812
"worauf" 0.0124587304553666 0.00231454692743895 0.00986825874574431 0.0101050929668553 0.00686254325853161 0.0236201873868199 0.00339385711861531 0.00848824378236143 0.00848817516359947 0.0443349395663898 0.00309898787056147 0.00226300663060943 0.00180189920175865 0.00606857489632851 0.0013387239283515
"nase" 0.00207645507589443 0.00231454692743895 0.00493412937287216 0.00252627324171382 0.00784290658117899 0.0131223263260111 0.0022625714124102 0.0424412189118071 0.00808397634628521 0.0138092434714984 0.00185939272233688 0.00226300663060943 0 0.00404571659755234 0
"meinung" 0.00830582030357773 0.00694364078231686 0.00657883916382954 0.00884195634599838 0.0186269031303001 0.0288691179172244 0.0135754284744612 0.0636618283677107 0.00848817516359947 0.0145360457594721 0.0154949393528074 0.00678901989182828 0.0126132944123106 0.0222514412865379 0.00401617178505449
"gebracht" 0.0339154329062757 0.00694364078231686 0.00740119405930824 0.0176839126919968 0.0147054498397106 0.0236201873868199 0.0214944284178969 0.0190985485103132 0.00565878344239965 0.0334329052467857 0.0179741296492566 0.0271560795673131 0.0144151936140692 0.0384343076767472 0.010709791426812
"sagte" 0.0505270735134312 0.402731165374378 0.00575648426835085 0.175575990299111 0.0480378028097213 0.0577382358344487 0.338254426155326 0.144300144300144 0.19927001693593 0.202051036056661 0.291304859832779 0.212722623277286 0.255869686649729 0.0748457570547183 0.10709791426812
"vielen" 0.0242253092187684 0.00462909385487791 0.0411177447739346 0.0151576394502829 0.0117643598717685 0 0.00791899994343571 0.0127323656735421 0.0169763503271989 0.0334329052467857 0.00681777331523524 0.00452601326121886 0.0378398832369317 0.012137149792657 0.0174034110685694
"oben" 0.00969012368750735 0.00462909385487791 0.00493412937287216 0.0151576394502829 0.0343127162926581 0.0104978610608089 0.00565642853102551 0.0106103047279518 0.0218267361349701 0.00799482516770963 0.00929696361168442 0.00452601326121886 0.00180189920175865 0.00809143319510468 0
"stück" 0.0242253092187684 0.00925818770975582 0.0205588723869673 0.00378940986257074 0.00784290658117899 0.0314935831824266 0.011312857062051 0.0148544266191325 0.00444618699045687 0.0239844755031289 0.00681777331523524 0.0181040530448754 0.0216227904211038 0 0.00535489571340598
"werk" 0.00484506184375368 0.00694364078231686 0.0222035821779247 0.00631568310428456 0.0186269031303001 0.0131223263260111 0.011312857062051 0.0106103047279518 0.00606298225971391 0.00581441830378882 0.00433858301878606 0 0.0126132944123106 0.012137149792657 0.00535489571340598
"kommt" 0.00207645507589443 0.0277745631292674 0.0238482919688821 0.0315784155214228 0 0 0.0384637140109735 0 0.0105091692501708 0.00145360457594721 0.0254117005386041 0.00678901989182828 0.00720759680703461 0.0202285829877617 0.00803234357010897
"d" 0 0 0.0123353234321804 0.00505254648342765 0 0.00787339579560664 0.00339385711861531 0.0106103047279518 0.0375904900102262 0.0341597075347593 0.00433858301878606 0.0520491525040168 0.041443681640449 0.0445028825730758 0.00535489571340598
"gesagt" 0.00761366861161292 0.0578636731859738 0.00657883916382954 0.013894502829426 0.0186269031303001 0.0236201873868199 0.0475139996606143 0.0445632798573975 0.0218267361349701 0.0130824411835248 0.0402868423172992 0.0203670596754848 0.0270284880263798 0.00809143319510468 0.0307906503520844
"dabei" 0.0249174609107332 0.0601782201134128 0.0205588723869673 0.0505254648342765 0.0539199827456055 0.0446159095084377 0.0531704281916398 0.0212206094559036 0.0157637538752562 0.0290720915189441 0.0570213768183311 0.0271560795673131 0.0756797664738635 0.0323657327804187 0.0013387239283515
"gesetzt" 0.0166116406071555 0.0115727346371948 0.00904590385026562 0.0151576394502829 0.00882326990382636 0.0104978610608089 0.00565642853102551 0.0169764875647229 0.0129343621540563 0.0276184869429969 0.010536558759909 0.0181040530448754 0.0108113952105519 0.0303428744816426 0.00803234357010897
"bekommen" 0.014535185531261 0.00462909385487791 0.00411177447739346 0 0.0117643598717685 0.0183712568564155 0.011312857062051 0.00848824378236143 0.00808397634628521 0.0407009281265217 0.0247919029644918 0.015841046414266 0.0270284880263798 0 0.0200808589252724
"kerl" 0.00346075845982406 0 0.00164470979095739 0.00126313662085691 0.00490181661323687 0.0262446526520222 0 0.0275867922926746 0.00323359053851408 0.0159896503354193 0.00991676118579672 0.0248930729367037 0.0162170928158279 0 0.00267744785670299
"gesetze" 0.00138430338392962 0.00925818770975582 0.010690613641223 0.00631568310428456 0.0117643598717685 0.00262446526520222 0.0022625714124102 0.00212206094559036 0.00323359053851408 0.000726802287973603 0.00123959514822459 0.00905202652243771 0.00900949600879327 0.00404571659755234 0.00937106749846047
"guten" 0.0470663150536072 0.0115727346371948 0.032071840923669 0.0391572352465643 0.0264698097114791 0.0682360968952576 0.0350698568923582 0.0403191579662168 0.0412282793660546 0.0617781944777562 0.0285106884091656 0.0611011790264545 0.0558588752545183 0.0262971578840902 0.0682749203459263
"nunmehr" 0 0 0.00575648426835085 0.0252627324171382 0 0 0.00452514282482041 0.00212206094559036 0.00121259645194278 0 0.00867716603757213 0 0 0 0
"sagt" 0.000692151691964811 0.0185163754195116 0.0139800332231378 0.013894502829426 0.0352930796153054 0.00262446526520222 0.0520391424854347 0.0381970970206264 0.06830960012611 0.0101752320316304 0.010536558759909 0.0452601326121886 0.0126132944123106 0.00606857489632851 0.0240970307103269
"gnaden" 0 0 0 0.0126313662085691 0.00196072664529475 0.00262446526520222 0.0022625714124102 0.430778371954843 0.000404198817314261 0.00872162745568323 0 0.00226300663060943 0.00720759680703461 0 0.00267744785670299
"fügte" 0.00692151691964811 0.0324036569841454 0 0.00757881972514147 0.00588217993588424 0.00262446526520222 0.0248882855365122 0.00212206094559036 0.00161679526925704 0.00799482516770963 0.0136355466304705 0 0.00180189920175865 0.0101142914938809 0
"hundert" 0.0249174609107332 0.00462909385487791 0.0205588723869673 0.00252627324171382 0.0147054498397106 0.00787339579560664 0.0169692855930765 0.0318309141838554 0.00404198817314261 0.00218040686392081 0.0185939272233688 0.00678901989182828 0.00900949600879327 0.00404571659755234 0.00401617178505449
"vielmehr" 0.0166116406071555 0.00462909385487791 0.021381227282446 0.0189470493128537 0.00294108996794212 0.0314935831824266 0.0135754284744612 0.00636618283677107 0.0145511574233134 0.0145360457594721 0.00619797574112295 0 0.00180189920175865 0.0262971578840902 0.010709791426812
