"" "Ahlefeld_Erna_1820" "Ahlefeld_Marie-Mueller_1799" "Anonym_Schwester-Monika_1815" "Arnim_Graefin-Dolores_1810" "Arnim_Isabella-von-Aegypten_1812" "Arnim_Kronewaechter_1817" "Brentano_Godwi_1801" "Bruckbraeu_Mittheilungen_1829" "Campe_Robinson_1779" "Clauren_Liebe-und-Irrtum_1827" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Eichendorff_Ahnung-und-Gegenwart_1815" "Engel_Lorenz-Stark_1801" "Fischer_Christian_Hannchen_1800" "Fischer_Guenstling_1808" "Fischer_Gustav_1801" "Fischer_Honigmonathe_1802" "Fischer_Margarethe_1812" "Fischer_Vierzehn-Tage_1801" "Forster_Ansichten_1791" "Fouque_Falkenstein_1810" "Fouque_Magie-der-Natur_1812" "Fouque_Resignation_1829" "Fouque_Rodrich_1807" "Fouque_Spanier_1814" "Froelich_Kentucky_1819" "Goethe_Lehrjahre_1795" "Goethe_Wahlverwandschaften_1809" "Goethe_Wanderjahre_1821" "Goethe_Werther_1774" "Haller_Usong_1771" "Hauff_Bettlerin_1826" "Hauff_Lichtenstein_1826" "Hauff_Memoiren-des-Satan_1826" "Heine_Harzreise_1824" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_Hyperions_Jugend_1797" "Hoffmann_Elixiere_1816" "Hoffmann_Kater-Murr_1820" "Huber_Ellen-Percy_1822" "Huber_Klosterberuf_1830" "Huber_Luise_1796" "Huber_Seldorf_1795" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klingemann_Nachtwachen_1804" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Liebeskind_Maria_1784" "Manzoni_Die-Verlobten_1826" "Mereau_Amanda-und-Eduard_1803" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Novalis_Lehrlinge_1802" "Novalis_Ofterdingen_1802" "Paul_Feldprediger_1809" "Paul_Flegeljahre_1804" "Paul_Hesperus_1795" "Paul_Katzenberger_1809" "Paul_Loge_1793" "Paul_Luftschiffers-Giannozzo_1801" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Paul_Titan_1800" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Pichler_Agathocles_1808" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Florentin_1801" "Schlegel_Lucinde_1799" "Schopenhauer_Die-Tante_1823" "Schopenhauer_Gabriele_1819" "Scott_Ivanhoe_1819" "Spindler_Der-Jude_1827" "Stendhal_Rot-und-Schwarz_1830" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Albert-und-Albertine_1804" "Unger_Bekenntnisse_1806" "Unger_Julchen-Gruenthal_1798" "Voss_Ini_1810" "Vulpius_Rinaldo-Rinaldini_1799" "Waiblinger_Briten-in-Rom_1828" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Aristipp_1801" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798" "Zschokke_Goldmacherdorf_1817"
"Ahlefeld_Erna_1820" 0 0.814354845875008 1.01132030215373 0.847688363651398 0.955507016999094 0.902279930582696 0.857925890750062 0.839930182275926 1.01688335729162 0.88813600905991 1.01514855680501 1.01094196310367 0.9955583232674 1.09485209038173 1.03089105402006 0.965366048070839 1.11491436414935 1.08758948130639 1.01882457826051 1.0438289833994 1.00477996559276 1.09709393854575 0.899818235005694 0.81395972196133 0.870579702470218 0.826192959905023 0.822394322090424 0.907471271246018 0.836522004436132 0.847677247311044 0.850622238574383 0.847007690535659 0.958969854749457 1.0204481872413 0.97097635550766 0.914361765195478 0.884352903399806 1.09490524011754 0.961521152636216 0.959495219996338 0.937634870741732 1.00185065157714 1.2183101364318 0.994999751935756 1.11167326156126 0.868180893004194 0.849826451049381 0.807733212029406 0.865816964893289 0.974214415985756 0.816804689230982 1.02066290388425 0.958697026842448 0.971033922042279 0.965455804009695 0.883264191953574 1.05616250338381 0.994231469951139 1.18147025224473 0.960611437835283 0.934626576516674 0.987549527418525 1.04114867986721 0.934972127595989 0.922781701191442 0.853607377162715 0.999341861876607 0.992999291725885 0.929014444891265 0.998090317582918 1.06037019240941 1.03529062984923 0.922724490526291 0.902878644369108 0.90126459173869 0.971040127531136 1.20989729535469 0.931512170499338 1.08744125584439 0.893795261477667 0.870195842651042 0.911235212953911 0.909309172400835 1.05454107330067 0.919048829301108 0.875907055429966 0.829371276247319 1.05648103818629 1.20369742698563 0.79401091903804 1.07205264243448 0.928079032559083 0.974459956255549 1.02673827123899 0.855398041751811 0.942759789017148 0.751610243867045 0.710121210439014 0.904452338961501 0.867982266790756 0.841860776912296 0.803302702085239 0.914292596890276 0.902490740846176 0.830683318466087 0.96773074543024 0.812609150267601 0.901899418923555 0.994065819925885 1.00010997568627 0.943324819198766 0.878790971994451 1.14734040201523 1.03545290604671 0.977886101907677 0.945507470169766 1.04160457632178 0.92365079593782 0.961547628413963 0.832968658324494 1.13614391802859
"Ahlefeld_Marie-Mueller_1799" 0.814354845875008 0 1.0862155665814 0.915258212523 1.01121680623321 0.975703040107224 0.884010255441921 0.954092594246204 1.08416525172192 0.953474002422631 1.06157026927152 1.04504473761909 1.01786247092933 1.06304049961282 1.11605883004141 1.00543824321168 1.10115340393352 1.11784821480035 0.995998678954897 1.07159691855889 1.03114287104865 1.11609794132252 1.06460779549505 0.926916649098812 0.990827872307563 0.914683237770503 0.925246362296203 1.00371113752907 0.922589269058613 0.930059959776977 0.967199683402944 1.00184170119332 0.952283391121182 1.06403210913657 0.994619810708575 1.01154583130645 1.00712245012214 1.17263503930142 1.06540779421469 1.05414924064664 1.03087895780355 1.03416095436873 1.24395179282226 1.01616574154131 1.11578262810546 0.993940600646164 0.966873095705431 0.893644832114545 0.944290354010996 1.00016050274513 0.87083817308339 1.08553830313475 1.01209773871489 1.06584860882464 1.03413562439881 0.937554577032469 1.16015819529004 1.04900947872221 1.27958405101769 0.957699655211365 0.916928696136367 0.947491479600418 1.08089151816089 0.898785497460028 1.03379585107387 0.889976153347427 1.03767528983806 0.951531836653401 1.01475176907094 1.06173865362662 1.10541745011184 1.10548785705086 0.972761337872506 0.910780980232362 0.929902496905767 1.03731912772049 1.30838246129743 1.01161417297682 1.17007200894923 0.972841592406007 0.903522587309245 1.01555517225796 0.953844631800284 1.12011290804167 0.960125569250594 0.93615561922201 0.901074173677616 1.05795911701714 1.25344111480717 0.834316393261535 1.08268660268004 1.00006678373602 1.01291401248239 1.06128424913359 0.939557927345062 1.03354449936422 0.869710479338025 0.846797203167083 1.03226796220338 0.954982014829253 0.93048361325365 0.880197670459601 0.953768651014942 0.908121311827097 0.912434023943827 1.07508222807136 0.851218713138314 1.05820793022121 1.01002197309217 1.04574253781798 1.00067428216252 0.900364536955204 1.16270588621272 1.13743618292736 1.05431740024212 1.06411252617968 1.11960599352895 1.0243685999302 0.875905204402684 0.8728284651991 1.19785655007314
"Anonym_Schwester-Monika_1815" 1.01132030215373 1.0862155665814 0 0.926724312053123 0.942205572431874 0.924358739602804 0.881148839414864 0.922841257582572 0.959471620425122 0.96675294366354 0.965835185099989 0.893151850062693 1.00924395231146 1.08418327109285 1.02283265530782 1.01412920056917 0.976407590147711 1.16667792873769 1.06302702075379 1.02990937294 0.993822791411657 1.09514582250031 0.97573426586503 0.981323349660313 0.988246942388412 0.948945029627978 1.02624959559949 1.03535552981413 0.987883103827834 0.937282530160276 0.987234311522929 0.967758441866548 0.959836083708357 1.06927473424079 0.989295027856683 0.939282437866837 0.897439681114523 1.06701572432639 0.973101904076307 0.971582778281848 0.949197820454388 0.931351348620096 1.26325775938829 1.03292971701251 1.18944129295905 0.929429817675251 0.890874547282111 0.997300871270807 1.03859565493931 1.09675079581255 0.980865351734264 1.00681975344571 0.992344617982751 0.953949339521613 0.957773238094722 1.00843799541165 1.06882917788788 0.996163554181314 1.22940020555127 1.03709124896762 0.953556210367474 1.04368973266391 1.05071788538049 0.9914881907402 0.919241943419625 1.10174660594123 1.21490778013787 0.944627219861665 1.02493304952597 1.01335626939316 1.08038934128501 0.993099348140237 0.996780258024483 0.977505679407509 0.999138498635275 0.981055227798237 1.27266320392756 1.06052231753286 1.03684426153262 0.913248063636482 0.907620966833109 0.939791489415969 0.891193374024188 0.997400287597399 0.908098752227461 0.884327313919596 0.910443609555305 0.941174167418769 1.14884398271959 0.9808026889791 0.919119971644477 0.856996182654874 1.01209379239471 0.924430597123506 0.957359466668446 1.06458874038229 0.954350014122533 0.993870522846389 0.937925973799585 0.906304297843381 0.883024502142008 0.859901778043193 0.982577127573675 0.979441152410216 0.930496989599468 1.0583806102628 0.874615565070686 1.01945490840462 0.922887390436153 0.952283189996493 0.954781655387937 0.867487744708526 1.02993764719971 1.0253611560178 1.0787481302878 1.00800933949828 1.09462128809355 1.00391849110292 1.05912872859437 1.07832959046626 1.06379469374148
"Arnim_Graefin-Dolores_1810" 0.847688363651398 0.915258212523 0.926724312053123 0 0.64673174536527 0.560733912790087 0.674508825470593 0.739953168961481 0.855684199760636 0.802123075532069 0.916851200912443 0.77663373486953 0.903599647805354 1.00940798577484 0.839506527448669 0.832295300101283 0.945716124833929 1.0837752630007 0.973388778086817 0.925443560186799 0.865102181887501 1.04332707333339 0.841915171638074 0.743944234645821 0.846377754809349 0.705571638654087 0.811317773106649 0.895491941607928 0.765910465528126 0.666336663947408 0.759152089964442 0.73206932298231 0.782773937950369 0.919460912076128 0.856575348068205 0.763645424545364 0.722293600828396 0.9742526292309 0.819703044948877 0.846226898415757 0.776248316054233 0.75862563703749 1.23031548061765 0.893483310437168 1.08558844284153 0.769867919270532 0.715175225003037 0.782837913103249 0.851372646060291 0.900081235240035 0.801751335015379 0.903456735734908 0.880583660982038 0.862010061999368 0.85482864981126 0.829384866541122 0.889512692103321 0.82568470526656 1.15209501740886 0.864183609628755 0.755681592344713 0.855758054500719 0.920755745649731 0.794612602259799 0.740370979920709 0.899631891336473 1.12076431933795 0.765375446552419 0.81059648682977 0.904049657301884 1.03209038382044 0.867833970282335 0.827249493217557 0.777940924467297 0.791657041151582 0.760395151942484 1.19812100404462 0.861526330581026 0.945748067038065 0.718024785308073 0.734704111971914 0.764196051267069 0.731901220889758 0.913942596896932 0.763593292211515 0.711135056890656 0.709580301827457 0.83562288118295 1.16972424709635 0.773179207808831 0.957441763636669 0.802424601497082 0.84470507008896 0.949358914555765 0.712035909736581 0.933552785811876 0.709649251590225 0.741660216424435 0.799737176372179 0.724776525591359 0.6971611945551 0.666198432026886 0.731519267086702 0.726776941617253 0.740327173347429 0.944917481592806 0.656888023224183 0.879497718415633 0.805554045803811 0.873007629370183 0.787381514258158 0.658322078265029 0.978993721756214 0.858201982602891 0.925260837119561 0.845891991648296 0.93797233456431 0.833292372659306 0.915612833295677 0.878641536880976 0.921903762707219
"Arnim_Isabella-von-Aegypten_1812" 0.955507016999094 1.01121680623321 0.942205572431874 0.64673174536527 0 0.650555963438039 0.815842760055891 0.85871074719654 0.902246480346392 0.908072646082919 0.962289647022479 0.85880737644381 1.01547739890652 1.07022452359294 0.940429362397363 0.904631149142727 0.953234420241092 1.12115087506533 1.02191952176273 1.01329684351135 0.93910838524914 1.08512521556301 0.969562574386426 0.871179736495315 0.897839929012799 0.83377282174437 0.913498171366271 0.958285577447163 0.908583608429007 0.829474260131441 0.900462468417652 0.878872540034706 0.888298329893187 0.993312402766624 0.939202185934694 0.84878299341536 0.84272889254544 1.00733153191197 0.946330024834021 0.972503478950233 0.894610338952078 0.869040911065118 1.22574608652788 0.958460827514877 1.12529388973013 0.866395893774146 0.823754523601371 0.887986491726288 0.964275977789682 0.998417149028115 0.889998710955337 0.994733942116201 0.967964335655787 0.896434531583503 0.909533754166 0.927503440963217 1.00320847829647 0.914845510663346 1.21307594179692 0.98726014705445 0.89688998446271 0.977074891235931 1.0308026257072 0.903589855728723 0.824966033031541 1.04772220257451 1.16264983030669 0.86281447506041 0.920259023125809 0.949941997708502 1.07388490786879 0.941893360839887 0.917589516891976 0.885343527367632 0.879484536932927 0.895570605746431 1.22951046283108 0.957482966391652 0.988297708704126 0.821446237138809 0.851752658872978 0.87744569606989 0.859357112640472 0.967086087702288 0.864157533827862 0.813311980180679 0.827616955131658 0.891637349723087 1.15682029294792 0.908794238843212 0.950267281980311 0.874738975916981 0.917221544949036 1.00488428882251 0.855912490317245 1.04172330112973 0.846438452597639 0.861799146220102 0.876287501557422 0.793251431279525 0.794502389028019 0.79371997385635 0.884816265419245 0.883719710864952 0.859331738022702 1.0566149531417 0.79856009392576 0.973035821801352 0.869790294882297 0.908317252832942 0.872010810564481 0.767405244443707 0.989736247083736 0.947564764394846 1.01799458612183 0.975212371209129 1.04202313790198 0.936412941735968 1.04237325899497 1.01824460281513 0.962883630717436
"Arnim_Kronewaechter_1817" 0.902279930582696 0.975703040107224 0.924358739602804 0.560733912790087 0.650555963438039 0 0.747870953955983 0.80842725761009 0.86679328726759 0.843597807788802 0.922308886593811 0.807128559743869 0.976727126945971 1.04763753375279 0.874433397573514 0.875770273169539 0.950348980154747 1.11438669988202 1.01614604994108 0.974202333064822 0.895733649900881 1.05443958729341 0.903035219526651 0.786343751481464 0.861024976537249 0.762324175322698 0.850809260329954 0.906835612524109 0.828671537669553 0.760916916329455 0.827551993246758 0.797666374914411 0.840555957396072 0.939913871488182 0.891282717746657 0.712885077648773 0.758154562011459 0.974877150001507 0.861434528876037 0.90383938440357 0.815934792550847 0.783686256441808 1.22470206861175 0.911781388077958 1.09719910945408 0.779874666384662 0.757661092234721 0.829690584651465 0.900181606247049 0.975079921430562 0.833097186548843 0.954494046669439 0.924830493234248 0.865137258993607 0.852594790809212 0.881472291768301 0.947430953760264 0.871691873747333 1.17519941553578 0.921399266417152 0.820252378659341 0.935090404818491 0.992534866997671 0.871100891716586 0.721800823951608 0.981455525679234 1.15734925280363 0.789401037119141 0.891236510908753 0.920487354990642 1.04179478933351 0.890477727311599 0.856195603612526 0.852195839470343 0.828740003327498 0.836786693576854 1.20086331814493 0.886538928660911 0.950666413529446 0.76307890044385 0.792298938926116 0.82961533737586 0.80633655097792 0.916548024292248 0.805001103187805 0.758478809389482 0.760850586978616 0.809782809611545 1.13993085449691 0.855912989804809 0.949759334620645 0.831282028156295 0.891140880417184 0.986762362470431 0.788861014578098 1.018896132236 0.781308940330414 0.8080827689218 0.775581052827055 0.675194703559205 0.742142070402089 0.717527379242124 0.764179416176384 0.824448194106183 0.801306271893321 1.02569050704972 0.738238005678704 0.871503151227933 0.792806922435168 0.856171088111231 0.833001742978245 0.72683823195102 0.981078351464677 0.888242459266558 1.00004217745433 0.920002428322853 0.994520568386348 0.922915385506697 0.975205246212767 0.966356682767743 0.890489945346732
"Brentano_Godwi_1801" 0.857925890750062 0.884010255441921 0.881148839414864 0.674508825470593 0.815842760055891 0.747870953955983 0 0.802120294767634 0.875349123510674 0.833191967390716 0.902328054987087 0.802066144500224 0.859428576985009 0.955276492979769 0.844015401121693 0.876128151218815 0.942685859877023 1.05744749545404 0.969502783621767 0.902001120924856 0.867226016057734 1.05286071692447 0.853605738511157 0.76881874398215 0.852247122387313 0.704560931790346 0.796966055939348 0.87383867072024 0.774209724744748 0.740554448191545 0.814877354452965 0.782295924514337 0.742742254651959 0.981918427773051 0.841261140647617 0.792193687334312 0.741455936371218 0.935393856637564 0.800260672958613 0.843173666265161 0.832257933754241 0.768575053177567 1.16618193510079 0.82214981773815 1.03915151309296 0.800737917350281 0.741708479658507 0.843831403932641 0.862832880396032 0.983434318217258 0.821172355662918 0.85940106489311 0.875927041863278 0.805836502265289 0.845726714339351 0.809620183590061 0.963376694073439 0.879045236559516 1.16060480214572 0.843902518110899 0.75414780078769 0.858841286244457 0.902880920588458 0.804021639715949 0.79106712712012 0.831853596994096 1.06956529666738 0.762193519287593 0.855350605640019 0.877652462975582 0.97979836841305 0.896335099481024 0.866153696180415 0.844273173570792 0.850024465089806 0.836876814359781 1.13948428053007 0.837109457432428 0.966711179273851 0.707276358262289 0.686410952304946 0.765397884290583 0.697426829883006 0.884933573721756 0.725027561428739 0.69544650662382 0.676253372227942 0.841361023608661 1.18396601220133 0.760837558314007 0.951764737179863 0.804295288543974 0.874881658511251 0.942783989546874 0.760099351802192 0.894186159469516 0.760534586012308 0.759926689946482 0.837690174588981 0.755137395371618 0.74432757285944 0.685638057479663 0.696641856449348 0.665375382322218 0.757064162332064 0.983047090577122 0.696232360493271 0.908804035239803 0.795860555110802 0.855834200809084 0.846169923337129 0.710369471804663 1.02275266242464 0.915770956857677 0.951436067226826 0.84957946593209 0.981587935773517 0.871621970244252 0.876412163835348 0.87842255884659 0.997094621178427
"Bruckbraeu_Mittheilungen_1829" 0.839930182275926 0.954092594246204 0.922841257582572 0.739953168961481 0.85871074719654 0.80842725761009 0.802120294767634 0 0.909624092408181 0.800105854465323 0.931223643021891 0.819304918678413 0.888655310898178 1.03859758094672 0.988289901550709 0.87724023177621 1.0337153462327 1.06160707171307 1.01718971717878 0.962307272708119 0.943642514209352 1.0388722762996 0.785763256132219 0.852416802020872 0.919735910272264 0.786372701990367 0.931017570430462 0.979293135862997 0.803334272404264 0.732717005230306 0.792284586738238 0.753898730421873 0.903162390508033 0.924964608972039 0.909775181017756 0.841763631461424 0.740259586613641 1.01620948914647 0.877204444985735 0.834658770899932 0.77422572388211 0.825247815069256 1.30065139775581 1.00959506703542 1.17714540842973 0.844489775173235 0.770966850483496 0.786292301500229 0.889654212154239 0.926315206494449 0.863900908945754 0.978560157470701 0.949269821367562 0.894114990319787 0.874361846323213 0.85154235796671 0.858308285827766 0.828582052707716 1.09524030866046 0.883658631696951 0.826742050231309 0.881830891182478 0.935366627592662 0.851872642541367 0.774375215845336 0.958171587123539 1.11779911286495 0.915047730295463 0.868814936197971 0.976844554768581 1.0640884881448 0.863620930588204 0.814952173535744 0.805712925693457 0.799824989581709 0.789422824350389 1.23697858827599 0.940290180758333 0.950770928611601 0.787945589587177 0.790647620355445 0.79442796104135 0.793946254603576 0.939577801892083 0.81907344572828 0.775209371568986 0.810725527084713 0.951538356073679 1.17127593482514 0.781040484804285 0.953720777686629 0.76942326609235 0.847165653702915 0.961638973013848 0.807026422698635 0.999494513862271 0.721385580589259 0.757834216697815 0.764073337990566 0.793726704665967 0.719662049738398 0.671994469628805 0.860735418191276 0.845619395101971 0.780091251255773 0.877896917402592 0.72772430012195 0.845900084535022 0.859314792749189 0.888203241145212 0.824398211600117 0.746338530425839 1.03065251184685 0.840667393934275 0.876090433493919 0.774066307629322 0.871536842920941 0.77986101283939 0.925493433768772 0.896928085441901 1.00462022626241
"Campe_Robinson_1779" 1.01688335729162 1.08416525172192 0.959471620425122 0.855684199760636 0.902246480346392 0.86679328726759 0.875349123510674 0.909624092408181 0 0.968462865079319 0.971431019180462 0.82419896398413 0.956432856070028 1.01625685852527 1.00294343859783 0.890409833561497 0.977003409834316 1.13846397579456 1.03307687916209 0.985857638154639 0.952732639064185 1.03144633005958 0.918212707927184 0.965817699268948 0.987971076586402 0.883149679349187 1.03975433860085 1.0414263694921 0.939344859765261 0.892067461334342 0.909459527455351 0.889094453396801 0.905887937031231 0.971166248930072 1.01289611823467 0.910746814706595 0.903239945178084 1.03890300191219 0.928222366746653 0.937025366032579 0.876347419520578 0.826909793244897 1.20270530287605 0.982809770640208 1.15119264006494 0.961301296919373 0.878239985627741 0.93613552374428 1.0250423373774 0.999390122974218 0.922073627223824 0.964189767999521 0.912859594010766 0.922095251303279 0.972708514891135 0.980009700994312 0.944628252052156 0.862745375926186 1.14060888823126 0.922067773920544 0.845834768887739 0.959494280649852 0.944348323261658 0.896829423374762 0.774753019541061 1.04551904582239 1.16154668070398 0.842915554982488 0.870433193295867 0.921957270837823 1.06554851268028 0.868942049217262 0.911657952398272 0.838415771863377 0.881426486672551 0.827358601932033 1.2254874439931 0.996505243725792 0.984667371074535 0.857554219167669 0.856445313701208 0.880072095840375 0.833845747085327 0.929742987131433 0.850568558977496 0.817499072168301 0.884504883136258 0.811999641056855 1.12662785948404 0.944443725651159 0.970663018379128 0.878496042495282 0.927268051503521 1.00749387228558 0.900764185256456 1.09104655667201 0.885065126654259 0.953247370664226 0.893776805982259 0.890978598338443 0.86003708382731 0.804041894272732 0.912128836107088 0.88021382834807 0.898098371055203 0.989627804520454 0.812881828320786 0.953324248392872 0.907335358203479 0.924214793417362 0.824549474556136 0.798151790537553 0.989683599981428 0.873728959670963 0.961480433294568 0.895010170371152 0.948388503839369 0.899613215595212 1.01582065661484 1.07983843628741 0.927917822315689
"Clauren_Liebe-und-Irrtum_1827" 0.88813600905991 0.953474002422631 0.96675294366354 0.802123075532069 0.908072646082919 0.843597807788802 0.833191967390716 0.800105854465323 0.968462865079319 0 0.978735570673931 0.900497383178046 0.98183613250989 1.05477040536435 0.957008061730734 0.870106804651518 0.980766143946874 1.09493070317031 0.978286963306286 1.00538288019909 0.963800278091011 1.02139008573771 0.968093727049412 0.832706202604965 0.904912660536025 0.792976012383494 0.906371877940737 0.931627309552236 0.881004215224634 0.82559341374106 0.857671739203302 0.861924535576085 0.915369066021876 1.03846492809386 0.875957051015193 0.858868550139409 0.806247185846531 1.06337798494126 0.97010385742404 0.960048670843814 0.92499742418415 0.918500915145626 1.24432288987863 0.999378847216851 1.1233433632812 0.878089140432228 0.810402894299226 0.864958653184962 0.924141226117958 1.00048551053919 0.896979069900607 1.01080567095996 0.966009113795076 0.9697212137027 0.994236598179612 0.932755098196145 1.02447151213202 0.903674491662296 1.20848729390633 0.96130890883041 0.876054814614329 0.957203446531743 1.02420269833865 0.896019206800823 0.867494485593177 0.962043359165307 1.14109403301985 0.882616895992442 0.952281638991587 1.01034215366753 1.08917319783445 0.944267037654923 0.909325927292035 0.847063339437382 0.885944010120074 0.907950190917062 1.2399508789788 0.952430440487943 1.02364661404405 0.858387823924054 0.870571627004958 0.897883652631898 0.880015962086042 1.02475526005657 0.893598315779984 0.85159441145738 0.853370319268247 0.959792937543377 1.17413294031157 0.865462719965529 0.996450499763797 0.906945197903785 0.936695312345242 0.97582001948414 0.840408109843138 1.034825679435 0.778865781297785 0.824210835649183 0.911727639110659 0.845782779907522 0.803521840192749 0.785350268620657 0.871890421939007 0.856717961431092 0.812576614046114 1.00862150025644 0.744140647381553 0.964532369392691 0.88645639852836 0.905874510293113 0.926869289334929 0.807520045869196 1.07311177623803 0.995424243705765 1.0305300891213 0.95715215453946 1.06364431199208 0.961575776091268 0.971082931340903 0.931433977422235 1.06199284840756
