"m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Clauren_Liebe-und-Irrtum_1827" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Heinse_Ardinghello_1787" "m_Hunold_Adalie_1702" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Miller_Siegwart_1776" "m_Paul_Feldprediger_1809" "m_Paul_Hesperus_1795" "m_Paul_Siebenkaes_1796" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Sade_Geschichte-der-Justine_1797" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Schnabel_Wunderliche-Fata_1731" "m_Sterne_Tristram-Shandy_1759" "m_Waiblinger_Briten-in-Rom_1828" "m_Walpole_Otranto_1764" "m_Wieland_Agathon_1794" "w_Fischer_Gustav_1801" "w_Fischer_Vierzehn-Tage_1801" "w_Huber_Ellen-Percy_1822" "w_Huber_Seldorf_1795" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"ihr" 0.840102229307422 0.351983810897505 0.513601741022851 0.394987893732636 0.333323529700107 0.799687273133411 0.249557686935469 0.507655157463841 0.269106566200215 0.308403697610781 0.305281596926907 0.615856536101935 0.605936353903278 0.364341344386135 0.478962707774604 0.302202567676865 0.21147773689852 0.546664553953415 0.475440121712671 0.270126265442425 0.575234635180139 0.214481177427705 0.659891033378078 1.00230551917478 0.538595578085044 0.565796349352217 0.31152017801153 0.700152614527832
"ihm" 0.754067663655457 0.214204215194506 0.330794341675735 0.460819209354742 0.271560640373322 0.586362874853409 0.212310270974951 0.781395724000948 0.165949049156799 0.346802585255636 0.290073842098445 0.299669655497876 0.285883505319028 0.317545208409934 0.671565314087609 0.282766302950759 0.323300211477737 0.37236571066392 0.391219300152141 0.40704806512769 0.222020385508124 0.221877080097626 0.253804243606953 0.493575936008313 0.185566543709973 0.189199416184659 0.256903003944574 0.425714209215776
"sein" 0.339077405804803 0.297087253234591 0.413492927094668 0.244356917309173 0.34704861621717 0.383090411570894 0.482354036688705 0.510175788831587 0.228740581270183 0.392881250429461 0.30021234531742 0.276073619631902 0.312649490876785 0.427850386068122 0.385932014913983 0.256015314940636 0.386453837017295 0.235039349284318 0.377635296674636 0.569371646655019 0.257341810475325 0.362399230826122 0.345173771305456 0.51305919664022 0.366607074158727 0.396417824386904 0.461211692120967 0.535489571340598
"wenn" 0.278347124168122 0.224968246108803 0.267682263329706 0.159557256507816 0.306853719988628 0.245713966605238 0.554986497811714 0.471358065768314 0.34983853606028 0.42885494517043 0.393148624824688 0.335063709296838 0.480648761930796 0.454591035197379 0.221674697831949 0.173254445784316 0.422955473797039 0.306343421539112 0.263529667463595 0.377309393702836 0.388535674639217 0.34021152281636 0.250420187025527 0.219727883793174 0.253456742628256 0.291907670684902 0.360068777182158 0.484618062063241
"auch" 0.29606012297882 0.391810725280403 0.32208922742111 0.247704272340805 0.254894463888317 0.330596973250684 0.491665890678834 0.560588416186486 0.291532113383567 0.214629571993872 0.21572481849263 0.299669655497876 0.2124194172988 0.628405254537554 0.533472879372624 0.574937250123828 0.282742837278021 0.261448264934242 0.168441643121061 0.152410691052377 0.216974467655667 0.214481177427705 0.189507168559858 0.187255782739996 0.330398968068976 0.369389336360524 0.394457368261353 0.415004417788964
"noch" 0.334016549001746 0.26802436976599 0.359085963003264 0.445198219207123 0.46273148828956 0.335064499916234 0.605270509358413 0.536894481329683 0.313957660566918 0.386414069352433 0.375124619102067 0.384615384615385 0.299551242625117 0.327572951833406 0.453524627695528 0.460618574799315 0.359222457197485 0.33803412031902 0.203760052162573 0.249061373183153 0.504591785245736 0.42896235485541 0.330509526119277 0.322556203794906 0.208196610016067 0.181991819377624 0.331748760999292 0.526118503842138
"ihn" 0.538981249525545 0.199134571914491 0.18063112078346 0.391640538701003 0.203915571110654 0.46797341821634 0.188099450600615 0.56361317382778 0.197344815213491 0.34720678407295 0.304155096569243 0.424728645587541 0.256270074489168 0.297489721562991 0.324153820436227 0.112019762292392 0.294910049537936 0.464796915438652 0.456422516844164 0.353146723170142 0.247249974770411 0.207085274757784 0.260572356769805 0.475175078744845 0.201407590124239 0.1873975169829 0.212400121371498 0.518086160272029
"was" 0.366912118221615 0.144238014251577 0.35038084874864 0.185220311750332 0.310775173279217 0.30155804992461 0.387373125989385 0.356921401672691 0.210800143523502 0.151574556492848 0.179113556868554 0.210004719207173 0.312649490876785 0.491359427750109 0.209319058936398 0.198960473325294 0.419479127437064 0.390851951618867 0.383068898065638 0.45971029577587 0.640831567262085 0.436358257525331 0.171458866792253 0.1515364715815 0.291927855348616 0.275690577869074 0.416708809547891 0.144582184261962
"hatte" 0.503555251904147 0.208822199737358 0.422198041349293 0.460819209354742 0.122545415330922 0.175350421622829 0.195548933792718 0.309029405685536 0.17491926803014 0.213821174359244 0.241071076540067 0.526191599811232 0.229504088931411 0.210582611892904 0.247839580198998 0.304919464896643 0.329673513137692 0.224475783024349 0.230928059117583 0.504318302913151 0.444040771016248 0.532504992234302 0.578673675423853 0.714386223169927 0.248930729367037 0.275690577869074 0.471325983614848 0.327987362446116
"um" 0.361851261418558 0.428408430389012 0.254624591947769 0.316882942994544 0.204895934433301 0.144077734963981 0.219759754167055 0.340285234645574 0.390204520990312 0.445022897863001 0.36723911659842 0.325625294950448 0.347957812250849 0.187184543904803 0.256561207654682 0.248700591656618 0.327935339957704 0.314266096234089 0.244512062595088 0.283756489845483 0.307800988999899 0.281044301456993 0.398190657747798 0.442702977691667 0.373396094050556 0.270284880263798 0.390411651663801 0.297196712094032
"aus" 0.43776411346441 0.4025747561947 0.287268770402612 0.468629704428551 0.417634775447781 0.352934606578433 0.283080361299935 0.306508774317791 0.457481162540366 0.571941326499679 0.478762652007142 0.271354412458707 0.297273286407435 0.274091653574891 0.289994112901467 0.273988635009938 0.268837451838118 0.272011831194211 0.2771136709411 0.288712935082958 0.247249974770411 0.192293469417942 0.263956413351231 0.312814573478953 0.253456742628256 0.198208912193452 0.275108728633559 0.203486037109427
"nach" 0.377033831827728 0.384275903640395 0.459194776931447 0.393872108722091 0.452927855063086 0.474674708214665 0.284942732097961 0.388681356906278 0.363293864370291 0.285768563841182 0.306971347463403 0.302029259084474 0.235198979475614 0.220610355316375 0.415004106432927 0.480681815806908 0.315188736637794 0.41726086726879 0.157574440339057 0.270126265442425 0.282571399737612 0.303232009466755 0.363222073073062 0.366934741900917 0.27834981556496 0.275690577869074 0.305451603115202 0.269083509598651
"man" 0.0455477112275108 0.1668424791716 0.184983677910773 0.1338942012653 0.399988235640128 0.213324398280002 0.281217990501909 0.335243971910084 0.35880875493362 0.266367020610098 0.244450577613058 0.325625294950448 0.533611243991891 0.213925193034061 0.160623305642166 0.124768280015967 0.273472580318086 0.757935879152802 0.206476852858074 0.283136934190798 0.232112221213039 0.539900894904223 0.0902415088380278 0.153701278318378 0.144832424359003 0.243256392237418 0.479417416809952 0.219550724249645
"nur" 0.245451554948253 0.321844524337474 0.213275299238302 0.257746337435703 0.367636245992765 0.220025688278327 0.355712822422944 0.325161446439104 0.439540724793685 0.351248772246092 0.383573371784546 0.202925908447381 0.449326863937675 0.675201390513755 0.299442542645124 0.250581520501079 0.264202323358151 0.367083927533935 0.190176048685068 0.225518258305144 0.408719346049046 0.34021152281636 0.257188300188379 0.225139900635371 0.181040530448754 0.162170928158279 0.635177505815718 0.37618142386677
"für" 0.212555985728384 0.327226539794622 0.267682263329706 0.116041641096594 0.339205709635991 0.0346233316580108 0.432070025142006 0.234922843473833 0.394689630426982 0.345589988803693 0.317109850682378 0.233600755073148 0.276202191393881 0.384396831233078 0 0.00376185768892363 0.359222457197485 0.324829662494058 0.309715279287112 0.44731918268218 0.262387728327783 0.458545965535094 0.325997450677375 0.33229783411086 0.43449727307701 0.574805845361011 0.457165975523415 0.293180540308977
"einen" 0.268225410562008 0.307851284148888 0.287268770402612 0.295683027794205 0.274501730341264 0.442285139889429 0.270043765713754 0.264162167339675 0.34983853606028 0.287385359110439 0.378504120175058 0.273714016045304 0.290439417754391 0.147073570210917 0.36921556229059 0.309099306773225 0.336046814797648 0.359161252838958 0.230928059117583 0.40147206423553 0.272479564032698 0.325419717476518 0.314717262072622 0.294413716215485 0.224037656430333 0.299115267491937 0.24274299585314 0.182066454255803
"du" 0.394746830638427 0.122709952422983 0.198041349292709 0.148399406402374 0.17156358146329 0.0647791366504719 0.342676226836763 0.506646904916744 0.17491926803014 0.263133430071584 0.232622323857588 0.47192071731949 0.484635185311738 0.742053013336899 0.0952110997245419 0.0384545452645526 0.183087574958718 0.316906987799081 0.366768093892632 0.22365959134109 0.489454031688364 0.0369795133496043 0.051888867581866 0.167772522108089 0.210459616646677 0.149557633745968 0.0445028825730758 0.433746552785884
"bei" 0.25051241175131 0.270177175948849 0.193688792165397 0.23543063722482 0.436261678578081 0.531635673200424 0.327777260452556 0.328690330353947 0.282561894510226 0.176634883166332 0.207276065810151 0.280792826805097 0.240324380965398 0.177156800481332 0.452071023119581 0.439510373322577 0.241606072018309 0.190144192679449 0.13855683547055 0.251539595801891 0.237158139065496 0.199689372087863 0.359838016491636 0.395077229480338 0.312294915024101 0.315332360307764 0.252857287347021 0.194114969610967
"im" 0.38968597383537 0.432714042754731 0.393906420021763 0.370440623500664 0.419595502093076 0.0949349416429329 0.247695316137443 0.339276982098476 0.52475780409042 0.356099158053864 0.381320371069218 0.158093440302029 0.22836511082257 0.344285857539192 0.262375625958471 0.241385868372599 0.297227613777919 0.269370939629219 0.160291241034558 0.117715574390047 0.131193864163891 0.140522150728496 0.226731790955545 0.238128741056642 0.104098305008034 0.108113952105519 0.224537271164155 0.155291975688773
"wir" 0.159416989296288 0.087188650405804 0.230685527747552 0.148399406402374 0.523514014293697 0.0502596749874351 0.404134463171617 0.21122890861703 0.148008611410118 0.15844593638719 0.201080313843 0.363378952336008 0.482926718148477 0.200554868469432 0.109747145484014 0.757805332224282 0.230597641878386 0.425183541963767 0.203760052162573 0.402711175544899 0.297709153294984 0.288440204126914 0.170330847931777 0.064944202106357 0.208196610016067 0.169378524965313 0.489531708303833 0.263728613885245
"seine" 0.308712264986462 0.20236378118878 0.263329706202394 0.256630552425159 0.207837024401243 0.397609873233931 0.10429276468945 0.390193735726925 0.161463939720129 0.389647659890947 0.327811604080184 0.264275601698915 0.234060001366774 0.200554868469432 0.326334227300148 0.161759880623716 0.258987803818187 0.166376168594518 0.434688111280156 0.367396503227885 0.146331617721263 0.118334442718734 0.251548205886002 0.481669498955481 0.228563669691552 0.245058291439177 0.244765854151917 0.392246111006988
"da" 0.313773121789519 0.179759316268756 0.241566920565832 0.370440623500664 0.172543944785938 0.303791813257385 0.195548933792718 0.404813397659846 0.242195909580194 0.328613638476494 0.271486586196991 0.268994808872109 0.232351534203513 0.340943276398035 0.398287653809534 0.402727764808657 0.25145572003824 0.16901706015951 0.176592045207564 0.191442697297498 0.262387728327783 0.399378744175727 0.192891225141284 0.177514152424042 0.291927855348616 0.295511469088419 0.279154445231112 0.191437521754264
"einem" 0.28087755256965 0.3336849583432 0.282916213275299 0.325809223078897 0.282344636922443 0.15301278829508 0.171338113418382 0.188039100033776 0.363293864370291 0.339931205361293 0.334570606226167 0.160453043888627 0.201599125264812 0.147073570210917 0.276911671717943 0.20230434682656 0.236391552478345 0.20334865050441 0.171158443816562 0.342614277040507 0.297709153294984 0.295836106796835 0.286516790560738 0.279260069057335 0.183303537079364 0.223435501018073 0.252857287347021 0.15261452783207
